prediction_run_id;rank;external_id;liga;date;hora;home;away;market_key;family;fair_prob;odd_final_curinga;market_odd;odd_real;edge_pct;confidence;certified_slot;weight_a;weight_b;fair_prob_a;fair_prob_b;pred_odd_motor_a;pred_odd_motor_b;odd_source;odd_mercado;odd_selecao;phantom_edge_flag;market_gate_reasons
run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;1;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;gols_total_ft_over_1_5;gols;0.727433;1.3747;1.53;1.53;11.3;0.5985;true;0.75;0.25;0.7214795399844971;0.8248018622398376;1.386;1.2124;db:odds;Total de Gols;Mais de 1.5;false;
run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;2;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;escanteios_total_ht_over_4_5;escanteios;0.574889;1.7395;2;2;14.98;0.2316;true;1;0;0.5470456296946984;;1.828;;db:odds;1º Tempo - Total de Escanteios;Mais de 4.5;false;
run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;3;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;chutes_total_ht_over_8_5;chutes;0.841654;1.1881;1.33;1.33;11.94;0.2713;true;1;0;0.9408317367718004;;1.0629;;db:odds;1º Tempo - Total de Finalizações;Mais de 8.5;false;
run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;4;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;chutes_alvo_total_ft_under_9_5;chutes_alvo;0.543313;1.8406;2;2;8.66;0.3953;true;1;0;0.5596927022960747;;1.7867;;db:odds;Total de Chutes no Gol;Menos de 9.5;false;
run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;5;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;faltas_total_ft_over_17_5;faltas;0.792833;1.2613;1.35;1.35;7.03;0.4253;true;1;0;0.7763909811898995;;1.288;;db:odds;Total de Faltas;Mais de 17.5;false;
run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;6;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;btts_total_ft_sim;btts;0.55119;1.8143;1.9;1.9;4.73;0.5588;true;0.55;0.45;0.5156214102127257;0.5458827018737793;1.9394;1.8319;db:odds;Ambas as Equipes Marcam;Sim;false;
run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;7;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;cartoes_total_ft_over_3_5;cartoes;0.624048;1.6024;1.67;1.67;4.22;0.5143;true;0.75;0.25;0.5868196851087635;0.6010164022445679;1.7041;1.6638;db:odds;Total de Cartões;Mais de 3.5;false;
