liga,family,period,direction,predictions,hit_rate,brier
brasileirao,1x2,FT,away,1855,0.2544474393530997,0.19167331403711232
brasileirao,1x2,FT,draw,1855,0.2679245283018868,0.19600781761107933
brasileirao,1x2,FT,home,1855,0.4776280323450135,0.24784269991618496
brasileirao,1x2,HT,away,1855,0.1967654986522911,0.1592539582599089
brasileirao,1x2,HT,draw,1855,0.44258760107816714,0.24779256247368775
brasileirao,1x2,HT,home,1855,0.36064690026954177,0.22773751056404776
brasileirao,btts,FT,nao,1855,0.5132075471698113,0.2611125610381062
brasileirao,btts,FT,sim,1855,0.4867924528301887,0.2611125610381062
brasileirao,btts,HT,nao,1855,0.8172506738544474,0.1525326641156567
brasileirao,btts,HT,sim,1855,0.18274932614555256,0.1525326641156567
brasileirao,cartoes,FT,over,27825,0.6089847259658581,0.17916604859465438
brasileirao,cartoes,FT,under,27825,0.39101527403414194,0.17916604859465438
brasileirao,cartoes,HT,over,14840,0.45404312668463614,0.21470087397513052
brasileirao,cartoes,HT,under,14840,0.5459568733153639,0.21470087397513052
brasileirao,cartoes_1x2,FT,away,1855,0.461455525606469,0.2520694977103782
brasileirao,cartoes_1x2,FT,draw,1855,0.19622641509433963,0.15810617091401924
brasileirao,cartoes_1x2,FT,home,1855,0.3423180592991914,0.22667197644420153
brasileirao,chutes,FT,over,42665,0.5468182350873081,0.20213106680664106
brasileirao,chutes,FT,under,42665,0.4531817649126919,0.20213106680664106
brasileirao,chutes,HT,over,24115,0.6323035455110927,0.2047953435238329
brasileirao,chutes,HT,under,24115,0.3676964544889073,0.2047953435238329
brasileirao,chutes_1x2,FT,away,1855,0.31266846361185985,0.21022998779599286
brasileirao,chutes_1x2,FT,draw,1855,0.03288409703504043,0.03284087078186438
brasileirao,chutes_1x2,FT,home,1855,0.6544474393530997,0.2201873930528042
brasileirao,chutes_1x2,HT,away,1855,0.2981132075471698,0.20127549634218064
brasileirao,chutes_1x2,HT,draw,1855,0.07816711590296496,0.07245611915965697
brasileirao,chutes_1x2,HT,home,1855,0.6237196765498653,0.22516478478669225
brasileirao,chutes_alvo,FT,over,31535,0.44150943396226416,0.19802168162881484
brasileirao,chutes_alvo,FT,under,31535,0.5584905660377358,0.19802168162881484
brasileirao,chutes_alvo,HT,over,22260,0.4744833782569632,0.1950838043088006
brasileirao,chutes_alvo,HT,under,22260,0.5255166217430368,0.1950838043088006
brasileirao,chutes_alvo_1x2,FT,away,1855,0.3078167115902965,0.22824185717705658
brasileirao,chutes_alvo_1x2,FT,draw,1855,0.11266846361185984,0.10061531194440357
brasileirao,chutes_alvo_1x2,FT,home,1855,0.5795148247978437,0.2657315669892153
brasileirao,chutes_alvo_1x2,HT,away,1855,0.3008086253369272,0.21785375431269643
brasileirao,chutes_alvo_1x2,HT,draw,1855,0.19137466307277629,0.15583597332572094
brasileirao,chutes_alvo_1x2,HT,home,1855,0.5078167115902965,0.2643769008137759
brasileirao,dupla,FT,12,1855,0.7320754716981132,0.19600781761453087
brasileirao,dupla,FT,1x,1855,0.7455525606469002,0.19167331402845833
brasileirao,dupla,FT,x2,1855,0.5223719676549865,0.24784269992138738
brasileirao,dupla,HT,12,1855,0.5574123989218329,0.24779256247078102
brasileirao,dupla,HT,1x,1855,0.8032345013477089,0.15925395825592753
brasileirao,dupla,HT,x2,1855,0.6393530997304582,0.2277375105709359
brasileirao,escanteios,FT,over,37100,0.4653908355795148,0.2001754115546318
brasileirao,escanteios,FT,under,37100,0.5346091644204852,0.2001754115546318
brasileirao,escanteios,HT,over,27825,0.491392632524708,0.18413221010954425
brasileirao,escanteios,HT,under,27825,0.508607367475292,0.18413221010954425
brasileirao,escanteios_1x2,FT,away,1855,0.3444743935309973,0.2244289740803985
brasileirao,escanteios_1x2,FT,draw,1855,0.08194070080862534,0.07629451146822672
brasileirao,escanteios_1x2,FT,home,1855,0.5735849056603773,0.24281697329136046
brasileirao,escanteios_1x2,HT,away,1855,0.3148247978436658,0.2109212340995
brasileirao,escanteios_1x2,HT,draw,1855,0.14016172506738545,0.12285217548451266
brasileirao,escanteios_1x2,HT,home,1855,0.5450134770889488,0.2454415733684347
brasileirao,escanteios_handicap,FT,away_minus_1_5,1855,0.2684636118598383,0.26853597206961954
