family,period,direction,predictions,green,red,hit_rate,brier
escanteios_oddeven,HT,impar,12296,6142,6154,0.4995120364346129,0.2500012137895085
escanteios_oddeven,HT,par,12296,6154,6142,0.5004879635653872,0.2500012137895085
faltas,FT,over,172144,100432,71712,0.5834185333209406,0.1875866050848307
faltas,FT,under,172144,71712,100432,0.4165814666790594,0.1875866050848307
gols,2T,over,49184,17977,31207,0.36550504229017566,0.1587832585328393
gols,2T,under,49184,31207,17977,0.6344949577098243,0.1587832585328393
gols,FT,over,196736,65332,131404,0.3320795380611581,0.13440246684635962
gols,FT,under,196736,131404,65332,0.6679204619388419,0.13440246684635962
gols,HT,over,98368,28709,69659,0.29185304163955755,0.1599189182326846
gols,HT,under,98368,69659,28709,0.7081469583604424,0.1599189182326846
gols_oddeven,FT,impar,12296,6104,6192,0.49642160052049444,0.25020461417416695
gols_oddeven,FT,par,12296,6192,6104,0.5035783994795056,0.25020461417355355
gols_oddeven,HT,impar,12296,5563,6733,0.452423552374756,0.24880320626071203
gols_oddeven,HT,par,12296,6733,5563,0.5475764476252439,0.2488032062606
impedimentos,FT,over,122960,55155,67805,0.448560507482108,0.20740200720740606
impedimentos,FT,under,122960,67805,55155,0.551439492517892,0.20740200720740606
