market_key,family,direction,mercado,selecao,linha,verdict,all_n,all_wins,all_hit_rate,all_avg_odd,all_avg_fair_prob,all_avg_ev,all_avg_edge,all_profit,all_roi,all_roi_ci_low,all_roi_ci_high,all_roi_t,all_breakeven,value_n,value_wins,value_hit_rate,value_avg_odd,value_avg_fair_prob,value_avg_ev,value_avg_edge,value_profit,value_roi,value_roi_ci_low,value_roi_ci_high,value_roi_t,value_breakeven,value_league_segments_n,value_league_positive_n,value_league_positive_share,value_season_segments_n,value_season_positive_n
btts_total_ft_sim,btts,sim,Argentinos Juniors Vence ou Ambas as Equipes Marcam,Sim,,VALIDADO_FORTE,1007,568,0.564051638530288,1.8847077126779213,0.4595429897760807,-0.1340504662149138,-0.09328365202473983,64.3135,0.06386643495531281,0.003394334754988501,0.12433853515563713,2.0700159593885212,0.5305862512649941,283,154,0.5441696113074205,2.2301595995288577,0.5424813453860649,0.200461247786197,0.08960439256687479,61.529,0.21741696113074205,0.0860873588870476,0.3487465633744365,3.2447920083205357,0.44839840171585005,7,6,0.8571428571428571,2,2
btts_total_ft_nao,btts,nao,Argentinos Juniors Vence ou Ambas as Equipes Marcam,Não,,VALIDADO_FORTE,1007,439,0.435948361469712,2.5739976828864615,0.5404570102239192,0.376166758659717,0.14093025771183748,106.382,0.10564250248262165,0.026207077763828523,0.18507792720141478,2.606636844945975,0.3885007382285627,884,387,0.43778280542986425,2.6213797134238312,0.5559659452299175,0.43843308889094673,0.1651920663251906,114.8725,0.12994626696832579,0.043812365337624365,0.2160801685990272,2.956962107091357,0.3814784996157165,13,12,0.9230769230769231,2,2
gols_total_ft_over_1_5,gols,over,Total de Gols,Mais de 1.5,1.5,NAO_VALIDADO,850,631,0.7423529411764705,1.339435294117647,0.7196743444643373,-0.04274319941604938,-0.031883127753619823,-9.979999999999997,-0.011741176470588232,-0.051402743267412204,0.027920390326235736,-0.5802268478257837,0.7465832835611145,236,160,0.6779661016949152,1.3480084745762713,0.8179309426942281,0.0978192507072577,0.07181979474623813,-22.01,-0.09326271186440678,-0.17376944114008075,-0.012755982588732812,-2.2705544853064956,0.7418350988589569,3,1,0.3333333333333333,2,0
gols_total_ft_under_3_5,gols,under,Total de Gols,Menos de 3.5,3.5,NAO_VALIDADO,902,647,0.7172949002217295,1.4077937915742793,0.6923337579093576,-0.03640923941527562,-0.027778632038251014,-4.639999999999997,-0.005144124168514409,-0.046852210829578425,0.036563962492549604,-0.24173929272331257,0.7103313041903248,310,216,0.6967741935483871,1.4441935483870967,0.784727710321777,0.11949366184590952,0.08155253766763015,-2.3,-0.007419354838709677,-0.0823001028646227,0.06746139318720336,-0.1942012582304683,0.692427965155238,9,4,0.4444444444444444,2,1
escanteios_total_ft_under_10_5,escanteios,under,Total de Escanteios,Menos de 10.5,10.5,NAO_VALIDADO,942,579,0.6146496815286624,1.585307855626327,0.6140588942936902,-0.035523160259247795,-0.021399564667498778,-33.980000000000004,-0.03607218683651805,-0.08526932524962556,0.013124951576589466,-1.4371056626484293,0.6307923072802272,372,239,0.6424731182795699,1.5721774193548388,0.7401016286274149,0.15686705401100687,0.09973750584048043,-0.69,-0.0018548387096774192,-0.0781604136402834,0.07445073622092854,-0.04764375177402088,0.6360605283406001,11,6,0.5454545454545454,2,1
escanteios_total_ft_under_11_5,escanteios,under,Total de Escanteios,Menos de 11.5,11.5,POSITIVO_FRAGIL,932,666,0.7145922746781116,1.381802575107296,0.7154037012082933,-0.01672792847031204,-0.011500580789402715,-18.17,-0.01949570815450644,-0.059572683786401154,0.02058126747738827,-0.9534548797744721,0.7236923841470991,402,298,0.7412935323383084,1.375223880597015,0.8194247748881418,0.12306027317948197,0.08921906471685735,4.340000000000001,0.010796019900497514,-0.04799919833368938,0.0695912381346844,0.3598965977248704,0.7271543303668331,12,6,0.5,2,1
