market_key,family,direction,segment_type,segment,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,profit,roi,roi_ci_low,roi_ci_high,roi_t,breakeven
btts_total_ft_nao,btts,nao,liga,serie-a,69,41,0.5942028985507246,2.5679396135265704,0.5502937459271027,0.3975588182947961,0.1494018652794495,34.47416666666667,0.4996256038647343,0.1978265873123642,0.8014246204171045,3.2447626727271017,0.38941725682820577
btts_total_ft_nao,btts,nao,liga,serie-b-italia,69,34,0.4927536231884058,2.6954227053140096,0.5654545183578273,0.5152978686315051,0.18847503167166565,21.226666666666667,0.3076328502415459,-0.010302893780765376,0.6255685942638571,1.8964850533795816,0.37099932341910824
btts_total_ft_nao,btts,nao,liga,premier-league,53,23,0.4339622641509434,2.748638364779874,0.4956952446556312,0.3521362998392447,0.12339212629546559,9.467166666666664,0.17862578616352195,-0.19009573970261892,0.5473473120296628,0.9495147864179869,0.3638165037691619
btts_total_ft_nao,btts,nao,liga,la-liga,86,37,0.43023255813953487,2.6752034883720928,0.5510887631294467,0.46668486993991026,0.17029551202920948,13.39,0.15569767441860466,-0.13039040982590022,0.44178575866310954,1.066690500816714,0.3738033403240354
btts_total_ft_nao,btts,nao,liga,superliga-argentina,94,48,0.5106382978723404,2.273758865248227,0.6587558942681674,0.49257252878275976,0.21530022200791016,14.472500000000002,0.15396276595744682,-0.0766908591528993,0.38461639106779294,1.3083125016232826,0.4398003742981909
btts_total_ft_nao,btts,nao,liga,brasileirao-b,29,13,0.4482758620689655,2.5437643678160917,0.6030499385504449,0.5326904050477729,0.20845711567642655,4.205833333333333,0.14502873563218388,-0.3184031168782655,0.6084605881426333,0.6133724307020331,0.393118172678287
btts_total_ft_nao,btts,nao,liga,brasileirao,110,48,0.43636363636363634,2.6171227272727275,0.5506440914422897,0.43216216486086334,0.16207094571349207,14.980833333333333,0.13618939393939394,-0.10791760738793507,0.380296395266723,1.0935008445877288,0.38209900880043485
btts_total_ft_nao,btts,nao,liga,la-liga-2,84,35,0.4166666666666667,2.70371626984127,0.555532798149115,0.4898258434894836,0.17992840350355335,8.721833333333333,0.1038313492063492,-0.17895527073640397,0.3866179691491024,0.7196572613147062,0.3698612946759788
btts_total_ft_nao,btts,nao,liga,primeira-liga,45,20,0.4444444444444444,2.4286296296296297,0.6106603886280948,0.4552332748779131,0.18168215461407664,4.527166666666668,0.10060370370370374,-0.27173682283063444,0.47294423023804194,0.5295777526411017,0.4117548381193479
btts_total_ft_nao,btts,nao,liga,ligue-1,54,21,0.3888888888888889,2.7190524691358027,0.49540863810235436,0.3347141209699563,0.12049910633250267,2.351666666666668,0.043549382716049405,-0.30883029210043167,0.3959290575325305,0.2422296069372064,0.3677751758566948
btts_total_ft_nao,btts,nao,liga,liga-mx,40,15,0.375,2.7481208333333336,0.5310168729687109,0.44472750626994983,0.15514608471614152,1.3428333333333347,0.03357083333333337,-0.3926472126858822,0.459788879352549,0.15437833744460208,0.3638850183989362
btts_total_ft_nao,btts,nao,liga,championship,98,39,0.3979591836734694,2.6602891156462585,0.5456448986968528,0.4327149854029315,0.15852384387336152,2.0730000000000004,0.0211530612244898,-0.23359825697833536,0.27590437942731494,0.16274694981947385,0.375898993127697
