market_key,odds_range,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,profit,roi,roi_ci_low,roi_ci_high,breakeven
btts_total_ft_sim,1.70-1.90,16,10,0.625,1.844625,0.6192045321044665,0.1420000618646052,0.07691124134289258,2.4596666666666662,0.15372916666666664,-0.28432286192557266,0.5917811952589059,0.5421156061530121
btts_total_ft_sim,1.90-2.10,63,35,0.5555555555555556,2.0047328042328045,0.5867614115326273,0.17583521513517364,0.08763486727980238,7.262333333333335,0.11527513227513231,-0.13121555153177553,0.36176581608204017,0.49881959226117023
btts_total_ft_sim,2.10-2.50,166,86,0.5180722891566265,2.2587730923694775,0.5343235079360814,0.20524151685650724,0.09077659856164633,29.263666666666666,0.1762871485943775,0.003364220185949146,0.3492100770028058,0.44271821874369377
btts_total_ft_sim,2.50-3.00,38,23,0.6052631578947368,2.6412280701754383,0.4724020259642066,0.2450216258411559,0.0930934535546959,22.543333333333333,0.5932456140350877,0.18336083857072194,1.0031303894994534,0.37861175689139825
btts_total_ft_nao,1.50-1.70,5,4,0.8,1.6190000000000002,0.7455635964703583,0.204753570420083,0.12726368840557295,1.48,0.296,-0.27378652957050503,0.865786529570505,0.6176652254478072
btts_total_ft_nao,1.70-1.90,27,15,0.5555555555555556,1.806543209876543,0.6621011094812145,0.19559999956239327,0.1081399593810751,0.0800000000000003,0.0029629629629629737,-0.33573411861908176,0.34166004454500776,0.5535433608966036
btts_total_ft_nao,1.90-2.10,73,39,0.5342465753424658,2.0181963470319633,0.6224936832994358,0.2561412900223024,0.12661491904003636,5.324166666666666,0.07293378995433789,-0.15708333250028936,0.3029509124089651,0.49549192845911066
btts_total_ft_nao,2.10-2.50,188,80,0.425531914893617,2.3189113475177305,0.5994644050023666,0.38860706812341805,0.16710354271529465,-1.584166666666666,-0.008426418439716308,-0.17347201419216868,0.15661917731273606,0.4312368392480575
btts_total_ft_nao,2.50-3.00,457,207,0.45295404814004375,2.722909919766594,0.538082575040968,0.4639845714755641,0.16995313888556762,107.81,0.23590809628008752,0.11111047433448051,0.3607057182256945,0.36725416171157044
btts_total_ft_nao,3.00-4.00,132,42,0.3181818181818182,3.2174204545454543,0.4936077256716651,0.5816334110133443,0.181621715447337,3.762500000000002,0.028503787878787892,-0.229162013228494,0.28616958898606976,0.3108079948292852
btts_total_ft_nao,4.00+,2,0,0.0,4.0375,0.3340220206082503,0.3484401711934808,0.08634162800032148,-2.0,-1.0,-1.0,-1.0,0.24767801857585142
gols_total_ft_over_1_5,1.20-1.50,211,145,0.6872037914691943,1.321563981042654,0.8284341634709178,0.0923139259918884,0.06946763635033033,-20.67,-0.09796208530805688,-0.18048538300385994,-0.015438787612253813,0.7566792182176797
gols_total_ft_over_1_5,1.50-1.70,23,14,0.6086956521739131,1.5591304347826087,0.7345164166967754,0.1442936843290309,0.09231193626169651,-1.05,-0.04565217391304348,-0.3589876709802666,0.26768332315417964,0.64138315672058
gols_total_ft_over_1_5,1.70-1.90,2,1,0.5,1.71,0.6691081997241676,0.14417502152832662,0.0843128780867407,-0.29000000000000004,-0.14500000000000002,-1.3299695439124162,1.0399695439124161,0.5847953216374269
gols_total_ft_under_3_5,1.20-1.50,218,161,0.7385321100917431,1.3456422018348624,0.8225695715039733,0.10354631625238378,0.07655757918500769,-2.2499999999999996,-0.01032110091743119,-0.089065787600109,0.06842358576524663,0.7431395943412306
gols_total_ft_under_3_5,1.50-1.70,60,39,0.65,1.5741666666666667,0.7264017312798224,0.14187546898698677,0.09036752653202225,1.5900000000000003,0.026500000000000006,-0.16445214707704472,0.21745214707704472,0.6352567496029645
gols_total_ft_under_3_5,1.70-1.90,19,8,0.42105263157894735,1.773157894736842,0.654669041494871,0.16034227198189396,0.09019703154478495,-4.88,-0.25684210526315787,-0.6489535342429193,0.13526932371660355,0.5639655684179282
gols_total_ft_under_3_5,1.90-2.10,11,6,0.5454545454545454,1.9736363636363636,0.6189432509076956,0.21939895424704892,0.11191228180857897,0.7399999999999995,0.06727272727272723,-0.5089469467990436,0.6434924013444981,0.5066789497927222
gols_total_ft_under_3_5,2.10-2.50,2,2,1.0,2.25,0.5571160933540789,0.24875921280977953,0.11245206173352554,2.5,1.25,1.1807035354437185,1.3192964645562815,0.4444444444444444
escanteios_total_ft_under_10_5,1.20-1.50,114,88,0.7719298245614035,1.4297368421052632,0.7995339541224173,0.14157929856777146,0.09910098373530639,11.729999999999997,0.10289473684210523,-0.007499935812265782,0.21328940949647623,0.6994294128474139
escanteios_total_ft_under_10_5,1.50-1.70,192,116,0.6041666666666666,1.5903124999999998,0.733448384601976,0.16525251481372627,0.10387624819296976,-7.629999999999997,-0.03973958333333332,-0.14984216670199102,0.07036300003532439,0.6288072312831599
escanteios_total_ft_under_10_5,1.70-1.90,63,35,0.5555555555555556,1.7487301587301587,0.6577598049802238,0.14929282676719896,0.08555173260267587,-1.79,-0.028412698412698414,-0.24311597673631433,0.1862905799109175,0.5718435145683943
escanteios_total_ft_under_10_5,1.90-2.10,2,0,0.0,1.9249999999999998,0.6008977737790177,0.1550590942108392,0.08132962263191912,-2.0,-1.0,-1.0,-1.0,0.5194805194805195
escanteios_total_ft_under_10_5,2.50-3.00,1,0,0.0,2.5,0.7081819745511806,0.7704549363779516,0.30818197455118057,-1.0,-1.0,,,0.4
escanteios_total_ft_under_11_5,1.20-1.50,364,273,0.75,1.3579945054945055,0.8282122618376214,0.12208225532812397,0.08970012514111371,4.4,0.012087912087912088,-0.04828268327693766,0.07245850745276183,0.7363800044506483
escanteios_total_ft_under_11_5,1.50-1.70,37,25,0.6756756756756757,1.5286486486486488,0.7333701311213369,0.12018460080419906,0.07886571171242887,0.9400000000000004,0.025405405405405417,-0.2035942442268938,0.2544050550377046,0.6541725601131541
escanteios_total_ft_under_11_5,1.90-2.10,1,0,0.0,1.97,0.8048013446493669,0.5854586489592528,0.2971871314513974,-1.0,-1.0,,,0.5076142131979695
