liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao,escanteios_handicap,FT,away_plus_3_5,1855,0.684636,0.681607,0.211735,0.617627,0.686253
brasileirao,escanteios_handicap,FT,away_plus_4_5,1855,0.767655,0.763894,0.174824,0.533778,0.767655
brasileirao,escanteios_handicap,FT,home_minus_1_5,1855,0.476550,0.472782,0.243466,0.679976,0.574663
brasileirao,escanteios_handicap,FT,home_minus_2_5,1855,0.393531,0.390285,0.232588,0.658807,0.624259
brasileirao,escanteios_handicap,FT,home_minus_3_5,1855,0.315364,0.317445,0.211090,0.612253,0.684636
brasileirao,escanteios_handicap,FT,home_minus_4_5,1855,0.232345,0.229490,0.174194,0.531287,0.767655
brasileirao,escanteios_handicap,FT,home_plus_1_5,1855,0.731536,0.735052,0.192031,0.569467,0.730458
brasileirao,escanteios_handicap,FT,home_plus_2_5,1855,0.798922,0.800338,0.156860,0.489267,0.798922
brasileirao,escanteios_handicap,FT,home_plus_3_5,1855,0.852291,0.856791,0.123975,0.410532,0.852291
brasileirao,escanteios_handicap,FT,home_plus_4_5,1855,0.902965,0.905913,0.086759,0.314692,0.902965
brasileirao,escanteios_handicap,HT,away_minus_1_5,1855,0.201078,0.201946,0.158591,0.495059,0.798383
brasileirao,escanteios_handicap,HT,away_minus_2_5,1855,0.105121,0.102650,0.092876,0.331396,0.894340
brasileirao,escanteios_handicap,HT,away_plus_1_5,1855,0.622102,0.624726,0.231414,0.655293,0.620485
brasileirao,escanteios_handicap,HT,away_plus_2_5,1855,0.748787,0.749315,0.186065,0.558493,0.748787
brasileirao,escanteios_handicap,HT,home_minus_1_5,1855,0.377898,0.378664,0.232129,0.658477,0.628032
brasileirao,escanteios_handicap,HT,home_minus_2_5,1855,0.251213,0.253693,0.186738,0.560692,0.748787
brasileirao,escanteios_handicap,HT,home_plus_1_5,1855,0.798922,0.798925,0.158897,0.497000,0.798922
brasileirao,escanteios_handicap,HT,home_plus_2_5,1855,0.894879,0.902121,0.093080,0.330086,0.894879
brasileirao,escanteios_oddeven,FT,impar,1855,0.505121,0.520189,0.251301,0.697915,0.504582
brasileirao,escanteios_oddeven,FT,par,1855,0.494879,0.484326,0.250654,0.695496,0.503504
brasileirao,escanteios_oddeven,HT,impar,1855,0.492722,0.492980,0.249684,0.692531,0.530458
brasileirao,escanteios_oddeven,HT,par,1855,0.507278,0.507039,0.249683,0.692528,0.530458
brasileirao,faltas,FT,over,25970,0.708548,0.706849,0.172297,0.515715,0.736696
brasileirao,faltas,FT,under,25970,0.291452,0.293048,0.172292,0.515713,0.736696
brasileirao,gols,2T,over,7420,0.330054,0.329103,0.146753,0.455397,0.795553
brasileirao,gols,2T,under,7420,0.669946,0.670897,0.146753,0.455397,0.795418
brasileirao,gols,FT,over,29680,0.301584,0.299610,0.125548,0.393266,0.818733
brasileirao,gols,FT,under,29680,0.698416,0.700390,0.125548,0.393266,0.818733
brasileirao,gols,HT,over,14840,0.268801,0.266908,0.150686,0.463894,0.781065
brasileirao,gols,HT,under,14840,0.731199,0.733092,0.150686,0.463894,0.781065
brasileirao,gols_oddeven,FT,impar,1855,0.512129,0.517690,0.250485,0.694261,0.533154
brasileirao,gols_oddeven,FT,par,1855,0.487871,0.482310,0.250485,0.694261,0.533693
brasileirao,gols_oddeven,HT,impar,1855,0.452291,0.450555,0.247479,0.688097,0.547709
brasileirao,gols_oddeven,HT,par,1855,0.547709,0.549445,0.247479,0.688097,0.547709
brasileirao,impedimentos,FT,over,18550,0.396173,0.394727,0.195023,0.576479,0.709973
brasileirao,impedimentos,FT,under,18550,0.603827,0.604322,0.195002,0.575249,0.710081
brasileirao-b,1x2,FT,away,314,0.245223,0.234891,0.187120,0.645321,0.751592
brasileirao-b,1x2,FT,draw,314,0.321656,0.269705,0.220037,0.634325,0.678344
brasileirao-b,1x2,FT,home,314,0.433121,0.476687,0.246213,0.686941,0.576433
brasileirao-b,1x2,HT,away,314,0.194268,0.196890,0.150646,0.473627,0.805732
brasileirao-b,1x2,HT,draw,314,0.535032,0.435433,0.261478,0.716673,0.461783
brasileirao-b,1x2,HT,home,314,0.270701,0.346068,0.201909,0.592466,0.713376
brasileirao-b,btts,FT,nao,314,0.487261,0.509751,0.249265,0.691670,0.512739
brasileirao-b,btts,FT,sim,314,0.512739,0.490249,0.249265,0.691670,0.512739
brasileirao-b,btts,HT,nao,314,0.802548,0.822950,0.160037,0.502496,0.802548
brasileirao-b,btts,HT,sim,314,0.197452,0.177028,0.160267,0.503865,0.802548
brasileirao-b,cartoes,FT,over,4710,0.637367,0.629232,0.171781,0.518421,0.739066
brasileirao-b,cartoes,FT,under,4710,0.362633,0.370118,0.171732,0.518328,0.739066
brasileirao-b,cartoes,HT,over,2512,0.472532,0.455496,0.196258,0.580309,0.716162
brasileirao-b,cartoes,HT,under,2512,0.527468,0.543890,0.196141,0.579938,0.716162
brasileirao-b,cartoes_1x2,FT,away,314,0.423567,0.450208,0.247369,0.687931,0.557325
brasileirao-b,cartoes_1x2,FT,draw,314,0.213376,0.197072,0.168277,0.519784,0.786624
brasileirao-b,cartoes_1x2,FT,home,314,0.363057,0.337649,0.231742,0.655971,0.636943
brasileirao-b,chutes,FT,over,7222,0.566602,0.583437,0.200907,0.585669,0.683329
brasileirao-b,chutes,FT,under,7222,0.433398,0.417593,0.200840,0.585492,0.683606
brasileirao-b,chutes,HT,over,4082,0.664135,0.664980,0.197086,0.578181,0.695737
brasileirao-b,chutes,HT,under,4082,0.335865,0.334040,0.197127,0.578258,0.694023
brasileirao-b,chutes_1x2,FT,away,314,0.289809,0.298612,0.199741,0.594510,0.707006
brasileirao-b,chutes_1x2,FT,draw,314,0.066879,0.040659,0.063129,0.258014,0.933121
brasileirao-b,chutes_1x2,FT,home,314,0.643312,0.660464,0.225382,0.653026,0.649682
brasileirao-b,chutes_1x2,HT,away,314,0.305732,0.298715,0.206059,0.600246,0.691083
brasileirao-b,chutes_1x2,HT,draw,314,0.066879,0.076230,0.062182,0.243640,0.933121
brasileirao-b,chutes_1x2,HT,home,314,0.627389,0.624766,0.224105,0.638122,0.640127
brasileirao-b,chutes_alvo,FT,over,5338,0.397714,0.401672,0.191728,0.571406,0.713938
brasileirao-b,chutes_alvo,FT,under,5338,0.602286,0.598778,0.191493,0.565601,0.713938
brasileirao-b,chutes_alvo,HT,over,3768,0.452760,0.450509,0.190160,0.568664,0.717887
brasileirao-b,chutes_alvo,HT,under,3768,0.547240,0.557359,0.190404,0.582170,0.717887
brasileirao-b,chutes_alvo_1x2,FT,away,314,0.312102,0.331552,0.214978,0.621423,0.687898
brasileirao-b,chutes_alvo_1x2,FT,draw,314,0.121019,0.122849,0.106366,0.368915,0.878981
brasileirao-b,chutes_alvo_1x2,FT,home,314,0.566879,0.543239,0.246088,0.685309,0.566879
brasileirao-b,chutes_alvo_1x2,HT,away,314,0.296178,0.324579,0.209430,0.609840,0.703822
brasileirao-b,chutes_alvo_1x2,HT,draw,314,0.235669,0.191945,0.182201,0.552410,0.764331
brasileirao-b,chutes_alvo_1x2,HT,home,314,0.468153,0.479586,0.249113,0.691372,0.531847
brasileirao-b,dupla,FT,12,314,0.678344,0.730295,0.220037,0.634325,0.678344
brasileirao-b,dupla,FT,1x,314,0.754777,0.764341,0.186301,0.563389,0.751592
brasileirao-b,dupla,FT,x2,314,0.566879,0.523313,0.246213,0.686941,0.576433
brasileirao-b,dupla,HT,12,314,0.464968,0.564567,0.261478,0.716673,0.461783
brasileirao-b,dupla,HT,1x,314,0.805732,0.802443,0.150563,0.473358,0.805732
brasileirao-b,dupla,HT,x2,314,0.729299,0.653932,0.201909,0.592466,0.713376
brasileirao-b,escanteios,FT,over,6280,0.432325,0.432362,0.202293,0.591178,0.687739
brasileirao-b,escanteios,FT,under,6280,0.567675,0.568732,0.202279,0.591130,0.687739
brasileirao-b,escanteios,HT,over,4710,0.471975,0.465267,0.184039,0.549434,0.729724
brasileirao-b,escanteios,HT,under,4710,0.528025,0.532770,0.183788,0.548880,0.729087
brasileirao-b,escanteios_1x2,FT,away,314,0.312102,0.348840,0.208313,0.607490,0.697452
brasileirao-b,escanteios_1x2,FT,draw,314,0.079618,0.085821,0.073806,0.280834,0.920382
brasileirao-b,escanteios_1x2,FT,home,314,0.608280,0.564359,0.234052,0.660348,0.627389
brasileirao-b,escanteios_1x2,HT,away,314,0.340764,0.343917,0.226560,0.666814,0.659236
brasileirao-b,escanteios_1x2,HT,draw,314,0.165605,0.141557,0.140195,0.457652,0.834395
brasileirao-b,escanteios_1x2,HT,home,314,0.493631,0.518994,0.259656,0.714625,0.519108
brasileirao-b,escanteios_handicap,FT,away_minus_1_5,314,0.229299,0.263665,0.167868,0.515291,0.777070
brasileirao-b,escanteios_handicap,FT,away_minus_2_5,314,0.162420,0.193034,0.132917,0.429348,0.834395
brasileirao-b,escanteios_handicap,FT,away_minus_3_5,314,0.108280,0.133181,0.093172,0.325694,0.891720
brasileirao-b,escanteios_handicap,FT,away_minus_4_5,314,0.092357,0.089115,0.080736,0.288022,0.907643
brasileirao-b,escanteios_handicap,FT,away_plus_1_5,314,0.496815,0.539266,0.251348,0.694856,0.500000
brasileirao-b,escanteios_handicap,FT,away_plus_2_5,314,0.598726,0.626640,0.243827,0.680654,0.592357
brasileirao-b,escanteios_handicap,FT,away_plus_3_5,314,0.684713,0.710115,0.220121,0.635380,0.684713
brasileirao-b,escanteios_handicap,FT,away_plus_4_5,314,0.770701,0.785331,0.179808,0.548504,0.770701
