liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao,correct_score,FT,1_1,1845,0.130081,0.107078,0.113961,0.391538,0.869919
brasileirao,correct_score,FT,1_2,1845,0.071003,0.040935,0.066759,0.269356,0.928997
brasileirao,correct_score,FT,1_3,1845,0.013550,0.012108,0.013349,0.070654,0.986450
brasileirao,correct_score,FT,1_4,1845,0.002168,0.003012,0.002158,0.014027,0.997832
brasileirao,correct_score,FT,2_0,1845,0.084553,0.113442,0.077691,0.289604,0.915447
brasileirao,correct_score,FT,2_1,1845,0.100813,0.081828,0.090730,0.327363,0.899187
brasileirao,correct_score,FT,2_2,1845,0.052033,0.032126,0.049852,0.212972,0.947967
brasileirao,correct_score,FT,2_3,1845,0.012466,0.009244,0.012354,0.070897,0.987534
brasileirao,correct_score,FT,2_4,1845,0.003252,0.002225,0.003234,0.022068,0.996748
brasileirao,correct_score,FT,3_0,1845,0.046612,0.067922,0.045126,0.191725,0.953388
brasileirao,correct_score,FT,3_1,1845,0.035772,0.048097,0.034533,0.156175,0.964228
brasileirao,correct_score,FT,3_2,1845,0.018428,0.018459,0.018124,0.092654,0.981572
brasileirao,correct_score,FT,3_3,1845,0.006504,0.005168,0.006466,0.039989,0.993496
brasileirao,correct_score,FT,3_4,1845,0.002168,0.001205,0.002168,0.016418,0.997832
brasileirao,correct_score,FT,4_0,1845,0.012466,0.033150,0.012998,0.073996,0.987534
brasileirao,correct_score,FT,4_1,1845,0.013550,0.023040,0.013514,0.073250,0.986450
brasileirao,correct_score,FT,4_2,1845,0.009214,0.008647,0.009164,0.055598,0.990786
brasileirao,correct_score,FT,4_3,1845,0.002168,0.002357,0.002166,0.015268,0.997832
brasileirao,correct_score,FT,4_4,1845,0.000542,0.000532,0.000543,0.005317,0.999458
brasileirao,correct_score,FT,other_away,1845,0.004336,0.002656,0.004343,0.028751,0.995664
brasileirao,correct_score,FT,other_draw,1845,0.000000,0.000043,0.000000,0.000043,1.000000
brasileirao,correct_score,FT,other_home,1845,0.015176,0.044027,0.017246,0.088766,0.984824
brasileirao,correct_score,HT,0_0,1845,0.328455,0.381719,0.224102,0.640498,0.663957
brasileirao,correct_score,HT,0_1,1845,0.139295,0.112280,0.120554,0.407725,0.860705
brasileirao,correct_score,HT,0_2,1845,0.028726,0.019715,0.027979,0.133422,0.971274
brasileirao,correct_score,HT,1_0,1845,0.236856,0.238456,0.179269,0.543384,0.763144
brasileirao,correct_score,HT,1_1,1845,0.105691,0.076323,0.095418,0.343990,0.894309
brasileirao,correct_score,HT,1_2,1845,0.021680,0.012016,0.021287,0.107425,0.978320
brasileirao,correct_score,HT,2_0,1845,0.062873,0.086674,0.059308,0.234788,0.937127
brasileirao,correct_score,HT,2_1,1845,0.033604,0.025429,0.032649,0.151259,0.966396
brasileirao,correct_score,HT,2_2,1845,0.008130,0.004083,0.008091,0.051940,0.991870
brasileirao,correct_score,HT,other,1845,0.034688,0.043304,0.034168,0.153130,0.965312
brasileirao,dnb,2T,away,1161,0.400517,0.269153,0.251606,0.713859,0.609819
brasileirao,dnb,2T,home,1161,0.599483,0.730847,0.251606,0.713859,0.609819
brasileirao,dnb,FT,away,1351,0.347890,0.239371,0.225617,0.660169,0.669134
brasileirao,dnb,FT,home,1351,0.652110,0.760629,0.225617,0.660169,0.669134
brasileirao,dnb,HT,away,1028,0.354086,0.279701,0.226421,0.650726,0.664397
brasileirao,dnb,HT,home,1028,0.645914,0.720299,0.226421,0.650726,0.664397
brasileirao,dupla,2T,12,1845,0.629268,0.642156,0.235181,0.664049,0.627642
brasileirao,dupla,2T,1x,1845,0.747967,0.831879,0.194197,0.588928,0.745257
brasileirao,dupla,2T,x2,1845,0.622764,0.525965,0.242404,0.679273,0.584824
brasileirao,dupla,FT,12,1845,0.732249,0.753292,0.195920,0.581484,0.729539
brasileirao,dupla,FT,1x,1845,0.745257,0.821605,0.191887,0.583687,0.740921
brasileirao,dupla,FT,x2,1845,0.522493,0.425103,0.247849,0.692994,0.565854
brasileirao,dupla,HT,12,1845,0.557182,0.537755,0.247897,0.689269,0.555014
brasileirao,dupla,HT,1x,1845,0.802710,0.850949,0.159583,0.504170,0.802710
brasileirao,dupla,HT,x2,1845,0.640108,0.611295,0.227595,0.646918,0.630894
brasileirao,escanteios,FT,over,36900,0.465583,0.484686,0.200232,0.591351,0.700921
brasileirao,escanteios,FT,under,36900,0.534417,0.515314,0.200232,0.591351,0.700921
brasileirao,escanteios,HT,over,27675,0.491274,0.443983,0.184244,0.552468,0.730154
brasileirao,escanteios,HT,under,27675,0.508726,0.556017,0.184244,0.552468,0.730154
brasileirao,escanteios_1x2,FT,away,1845,0.344173,0.305914,0.224271,0.641279,0.651491
brasileirao,escanteios_1x2,FT,draw,1845,0.081843,0.112494,0.076226,0.288876,0.918157
brasileirao,escanteios_1x2,FT,home,1845,0.573984,0.581593,0.242751,0.678975,0.585366
brasileirao,escanteios_1x2,HT,away,1845,0.315447,0.314238,0.211114,0.611652,0.686179
brasileirao,escanteios_1x2,HT,draw,1845,0.139837,0.188889,0.122669,0.412905,0.860163
brasileirao,escanteios_1x2,HT,home,1845,0.544715,0.496873,0.245438,0.683982,0.557182
brasileirao,escanteios_exato,FT,eq_0,1845,0.000000,0.000049,0.000000,0.000049,1.000000
brasileirao,escanteios_exato,FT,eq_1,1845,0.000000,0.000454,0.000001,0.000454,1.000000
brasileirao,escanteios_exato,FT,eq_10,1845,0.120325,0.117850,0.105734,0.366984,0.879675
brasileirao,escanteios_exato,FT,eq_11,1845,0.114905,0.111960,0.101705,0.356726,0.885095
brasileirao,escanteios_exato,FT,eq_12,1845,0.079133,0.098391,0.073498,0.280139,0.920867
brasileirao,escanteios_exato,FT,eq_13,1845,0.077507,0.080539,0.071718,0.274661,0.922493
