liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,btts,FT,9,0.90,1.00,4,0.916800,0.250000,-0.666800
brasileirao,btts,HT,0,0.00,0.10,387,0.078777,0.167959,0.089182
brasileirao,btts,HT,1,0.10,0.20,1374,0.138069,0.185590,0.047520
brasileirao,btts,HT,2,0.20,0.30,82,0.224132,0.158537,-0.065596
brasileirao,btts,HT,3,0.30,0.40,2,0.315353,1.000000,0.684647
brasileirao,btts,HT,6,0.60,0.70,2,0.684647,0.000000,-0.684647
brasileirao,btts,HT,7,0.70,0.80,82,0.775868,0.841463,0.065596
brasileirao,btts,HT,8,0.80,0.90,1374,0.861931,0.814410,-0.047520
brasileirao,btts,HT,9,0.90,1.00,387,0.921223,0.832041,-0.089182
brasileirao,btts_algum_tempo,FULL,0,0.00,0.10,16,0.075090,0.187500,0.112410
brasileirao,btts_algum_tempo,FULL,1,0.10,0.20,87,0.164855,0.425287,0.260433
brasileirao,btts_algum_tempo,FULL,2,0.20,0.30,572,0.261513,0.344406,0.082893
brasileirao,btts_algum_tempo,FULL,3,0.30,0.40,846,0.346342,0.380615,0.034273
brasileirao,btts_algum_tempo,FULL,4,0.40,0.50,324,0.440397,0.432099,-0.008298
brasileirao,btts_algum_tempo,FULL,5,0.50,0.60,324,0.559603,0.567901,0.008298
brasileirao,btts_algum_tempo,FULL,6,0.60,0.70,846,0.653658,0.619385,-0.034273
brasileirao,btts_algum_tempo,FULL,7,0.70,0.80,572,0.738487,0.655594,-0.082893
brasileirao,btts_algum_tempo,FULL,8,0.80,0.90,87,0.835145,0.574713,-0.260433
brasileirao,btts_algum_tempo,FULL,9,0.90,1.00,16,0.924910,0.812500,-0.112410
brasileirao,btts_ambos_tempos,FULL,0,0.00,0.10,1830,0.031650,0.036066,0.004416
brasileirao,btts_ambos_tempos,FULL,1,0.10,0.20,15,0.122157,0.066667,-0.055490
brasileirao,btts_ambos_tempos,FULL,8,0.80,0.90,15,0.877843,0.933333,0.055490
brasileirao,btts_ambos_tempos,FULL,9,0.90,1.00,1830,0.968350,0.963934,-0.004416
brasileirao,cartoes,FT,0,0.00,0.10,5104,0.066635,0.074647,0.008012
brasileirao,cartoes,FT,1,0.10,0.20,6433,0.146160,0.184984,0.038824
brasileirao,cartoes,FT,2,0.20,0.30,6033,0.251064,0.280126,0.029062
brasileirao,cartoes,FT,3,0.30,0.40,5271,0.347869,0.365585,0.017716
brasileirao,cartoes,FT,4,0.40,0.50,4834,0.448991,0.467315,0.018324
brasileirao,cartoes,FT,5,0.50,0.60,4834,0.551009,0.532685,-0.018324
brasileirao,cartoes,FT,6,0.60,0.70,5271,0.652131,0.634415,-0.017716
brasileirao,cartoes,FT,7,0.70,0.80,6033,0.748936,0.719874,-0.029062
brasileirao,cartoes,FT,8,0.80,0.90,6433,0.853840,0.815016,-0.038824
brasileirao,cartoes,FT,9,0.90,1.00,5104,0.933365,0.925353,-0.008012
brasileirao,cartoes,HT,0,0.00,0.10,2014,0.060017,0.743793,0.683777
brasileirao,cartoes,HT,1,0.10,0.20,4580,0.158006,0.759389,0.601383
brasileirao,cartoes,HT,2,0.20,0.30,2536,0.234099,0.336751,0.102652
brasileirao,cartoes,HT,3,0.30,0.40,963,0.363990,0.722741,0.358751
brasileirao,cartoes,HT,4,0.40,0.50,4667,0.458176,0.539747,0.081571
brasileirao,cartoes,HT,5,0.50,0.60,4667,0.541824,0.460253,-0.081571
brasileirao,cartoes,HT,6,0.60,0.70,963,0.636010,0.277259,-0.358751
brasileirao,cartoes,HT,7,0.70,0.80,2536,0.765901,0.663249,-0.102652
brasileirao,cartoes,HT,8,0.80,0.90,4580,0.841994,0.240611,-0.601383
brasileirao,cartoes,HT,9,0.90,1.00,2014,0.939983,0.256207,-0.683777
brasileirao,cartoes_1x2,FT,1,0.10,0.20,1681,0.182230,0.200476,0.018246
brasileirao,cartoes_1x2,FT,2,0.20,0.30,562,0.246354,0.249110,0.002756
brasileirao,cartoes_1x2,FT,3,0.30,0.40,1361,0.355607,0.389420,0.033813
brasileirao,cartoes_1x2,FT,4,0.40,0.50,1378,0.444908,0.418723,-0.026185
brasileirao,cartoes_1x2,FT,5,0.50,0.60,481,0.534954,0.476091,-0.058863
brasileirao,cartoes_1x2,FT,6,0.60,0.70,69,0.631378,0.449275,-0.182102
brasileirao,cartoes_1x2,FT,7,0.70,0.80,3,0.759114,0.333333,-0.425780
brasileirao,chutes,FT,0,0.00,0.10,21956,0.026685,0.056249,0.029564
brasileirao,chutes,FT,1,0.10,0.20,8354,0.150504,0.228872,0.078369
brasileirao,chutes,FT,2,0.20,0.30,8593,0.250135,0.316188,0.066053
brasileirao,chutes,FT,3,0.30,0.40,9002,0.350548,0.384692,0.034144
brasileirao,chutes,FT,4,0.40,0.50,9290,0.449730,0.462863,0.013133
brasileirao,chutes,FT,5,0.50,0.60,9290,0.550270,0.537137,-0.013133
brasileirao,chutes,FT,6,0.60,0.70,9002,0.649452,0.615308,-0.034144
brasileirao,chutes,FT,7,0.70,0.80,8593,0.749865,0.683812,-0.066053
brasileirao,chutes,FT,8,0.80,0.90,8354,0.849496,0.771128,-0.078369
brasileirao,chutes,FT,9,0.90,1.00,21956,0.973315,0.943751,-0.029564
brasileirao,chutes,HT,0,0.00,0.10,12236,0.039922,0.001226,-0.038696
brasileirao,chutes,HT,1,0.10,0.20,4685,0.143497,0.010032,-0.133465
brasileirao,chutes,HT,2,0.20,0.30,2825,0.243916,0.052743,-0.191173
brasileirao,chutes,HT,3,0.30,0.40,2333,0.349820,0.166309,-0.183510
brasileirao,chutes,HT,4,0.40,0.50,1906,0.447941,0.463799,0.015857
brasileirao,chutes,HT,5,0.50,0.60,1906,0.552059,0.536201,-0.015857
brasileirao,chutes,HT,6,0.60,0.70,2333,0.650180,0.833691,0.183510
brasileirao,chutes,HT,7,0.70,0.80,2825,0.756084,0.947257,0.191173
brasileirao,chutes,HT,8,0.80,0.90,4685,0.856503,0.989968,0.133465
brasileirao,chutes,HT,9,0.90,1.00,12236,0.960078,0.998774,0.038696
brasileirao,chutes_alvo,FT,0,0.00,0.10,5535,0.071653,0.078410,0.006757
brasileirao,chutes_alvo,FT,1,0.10,0.20,4397,0.169284,0.175347,0.006063
brasileirao,chutes_alvo,FT,2,0.20,0.30,8551,0.250711,0.270612,0.019900
brasileirao,chutes_alvo,FT,3,0.30,0.40,6867,0.366956,0.376438,0.009483
brasileirao,chutes_alvo,FT,4,0.40,0.50,6015,0.445299,0.450374,0.005075
brasileirao,chutes_alvo,FT,5,0.50,0.60,6015,0.554701,0.549626,-0.005075
brasileirao,chutes_alvo,FT,6,0.60,0.70,6867,0.633044,0.623562,-0.009483
brasileirao,chutes_alvo,FT,7,0.70,0.80,8551,0.749289,0.729388,-0.019900
