liga,family,period,direction,n,coverage,mean_pred_raw,mean_pred_cal,base_rate,gap_raw,gap_cal,brier_raw,brier_cal,delta_brier,delta_brier_rel
serie-a,marca,FT,home_sim,240,1,0.752220,0.744415,0.687500,0.064720,0.056915,0.201554,0.200009,0.001544,0.007662
serie-a,margem,FT,away_1,240,1,0.150074,0.189149,0.204167,-0.054092,-0.015018,0.155031,0.155503,-0.000472,-0.003045
serie-a,margem,FT,away_2,240,1,0.072313,0.095882,0.112500,-0.040187,-0.016618,0.098276,0.095109,0.003167,0.032228
serie-a,margem,FT,away_3,240,1,0.027099,0.040510,0.045833,-0.018734,-0.005324,0.043796,0.043104,0.000691,0.015788
serie-a,margem,FT,away_4_plus,240,1,0.011878,0.021246,0.004167,0.007711,0.017079,0.003930,0.004189,-0.000259,-0.065796
serie-a,margem,FT,draw,240,1,0.249286,0.270587,0.225000,0.024286,0.045587,0.185427,0.179980,0.005447,0.029376
serie-a,margem,FT,home_1,240,1,0.207960,0.218732,0.229167,-0.021206,-0.010434,0.172791,0.173310,-0.000519,-0.003003
serie-a,margem,FT,home_2,240,1,0.143786,0.114000,0.083333,0.060453,0.030667,0.079820,0.076251,0.003569,0.044710
serie-a,margem,FT,home_3,240,1,0.078370,0.049171,0.050000,0.028370,-0.000829,0.048209,0.046427,0.001781,0.036952
serie-a,margem,FT,home_4_plus,240,1,0.059233,0.026318,0.045833,0.013400,-0.019515,0.040148,0.041801,-0.001653,-0.041178
superliga-argentina,asian_handicap,FT,away_minus_2,203,1,0.878407,0.920427,0.970443,-0.092037,-0.050017,0.042818,0.032231,0.010587,0.247265
superliga-argentina,asian_handicap,FT,home_minus_2,203,1,0.121593,0.079573,0.029557,0.092037,0.050017,0.042818,0.032231,0.010587,0.247265
serie-a,asian_handicap,FT,away_plus_2,213,1,0.105157,0.069866,0.056338,0.048819,0.013528,0.055680,0.051768,0.003912,0.070265
serie-a,asian_handicap,FT,home_plus_2,213,1,0.894843,0.930134,0.943662,-0.048819,-0.013527,0.055680,0.051768,0.003912,0.070265
la-liga,1x2,2T,away,222,1,0.186052,0.268630,0.261261,-0.075210,0.007369,0.188168,0.183494,0.004674,0.024840
la-liga,1x2,2T,draw,222,1,0.341299,0.344449,0.333333,0.007966,0.011116,0.219190,0.220236,-0.001046,-0.004772
la-liga,1x2,2T,home,222,1,0.472649,0.377013,0.405405,0.067244,-0.028392,0.232186,0.228605,0.003580,0.015420
la-liga,1x2,FT,away,222,1,0.200284,0.284122,0.274775,-0.074490,0.009347,0.193396,0.187979,0.005417,0.028012
la-liga,1x2,FT,draw,222,1,0.235081,0.261439,0.243243,-0.008162,0.018196,0.176466,0.178563,-0.002097,-0.011884
la-liga,1x2,FT,home,222,1,0.564634,0.450157,0.481982,0.082652,-0.031825,0.226131,0.222579,0.003552,0.015708
la-liga,1x2,HT,away,222,1,0.164597,0.236227,0.207207,-0.042610,0.029020,0.164213,0.163123,0.001090,0.006635
la-liga,1x2,HT,draw,222,1,0.442998,0.417846,0.432432,0.010566,-0.014587,0.247283,0.246074,0.001209,0.004887
la-liga,1x2,HT,home,222,1,0.392405,0.341194,0.360360,0.032044,-0.019166,0.223268,0.221803,0.001465,0.006561
la-liga,asian_handicap,FT,away_minus_0_5,222,1,0.435366,0.549843,0.518018,-0.082652,0.031825,0.226131,0.222579,0.003552,0.015708
la-liga,asian_handicap,FT,away_minus_1,167,1,0.659764,0.710792,0.688623,-0.028859,0.022169,0.166664,0.169952,-0.003287,-0.019725
la-liga,asian_handicap,FT,away_minus_1_5,222,1,0.654664,0.777293,0.765766,-0.111102,0.011528,0.166638,0.155463,0.011175,0.067059
la-liga,asian_handicap,FT,away_minus_2,195,1,0.828028,0.892054,0.871795,-0.043767,0.020259,0.097557,0.097145,0.000412,0.004219
la-liga,asian_handicap,FT,away_plus_0_5,222,1,0.200284,0.284122,0.274775,-0.074490,0.009347,0.193396,0.187979,0.005417,0.028012
la-liga,asian_handicap,FT,away_plus_1,185,1,0.195442,0.145970,0.129730,0.065712,0.016240,0.108634,0.104491,0.004143,0.038141
la-liga,asian_handicap,FT,away_plus_1_5,222,1,0.075083,0.118274,0.108108,-0.033025,0.010166,0.090255,0.089592,0.000664,0.007354
la-liga,asian_handicap,FT,away_plus_2,202,1,0.068894,0.044648,0.019802,0.049092,0.024846,0.024882,0.021156,0.003727,0.149768
la-liga,asian_handicap,FT,home_minus_0_5,222,1,0.564634,0.450157,0.481982,0.082652,-0.031825,0.226131,0.222579,0.003552,0.015708
