liga,family,period,direction,n,coverage,mean_pred_raw,mean_pred_cal,base_rate,gap_raw,gap_cal,brier_raw,brier_cal,delta_brier,delta_brier_rel
bundesliga,1x2,FT,away,198,1,0.210763,0.295116,0.297980,-0.087216,-0.002863,0.197730,0.189610,0.008119,0.041063
bundesliga,1x2,FT,draw,198,1,0.209235,0.246454,0.267677,-0.058441,-0.021223,0.194021,0.192826,0.001195,0.006160
bundesliga,1x2,FT,home,198,1,0.580001,0.458319,0.434343,0.145658,0.023976,0.237324,0.216967,0.020357,0.085777
bundesliga,1x2,HT,away,198,1,0.182597,0.253678,0.242424,-0.059827,0.011254,0.179591,0.175919,0.003673,0.020449
bundesliga,1x2,HT,draw,198,1,0.401558,0.395897,0.388889,0.012669,0.007008,0.232833,0.233696,-0.000863,-0.003708
bundesliga,1x2,HT,home,198,1,0.415845,0.356969,0.368687,0.047158,-0.011718,0.220486,0.219236,0.001249,0.005667
bundesliga,asian_handicap,FT,away_minus_0_5,198,1,0.419999,0.541681,0.565657,-0.145658,-0.023976,0.237324,0.216967,0.020357,0.085777
bundesliga,asian_handicap,FT,away_minus_1_5,198,1,0.627569,0.762206,0.767677,-0.140107,-0.005471,0.178380,0.159182,0.019198,0.107627
bundesliga,asian_handicap,FT,away_minus_2,173,1,0.798366,0.874581,0.878613,-0.080246,-0.004032,0.095346,0.091331,0.004016,0.042115
bundesliga,asian_handicap,FT,away_plus_0_5,198,1,0.210763,0.295116,0.297980,-0.087216,-0.002863,0.197730,0.189610,0.008119,0.041063
bundesliga,asian_handicap,FT,away_plus_1,165,1,0.203983,0.154883,0.157576,0.046407,-0.002693,0.119461,0.117157,0.002303,0.019282
bundesliga,asian_handicap,FT,away_plus_1_5,198,1,0.090473,0.134434,0.131313,-0.040840,0.003121,0.105445,0.104116,0.001329,0.012605
bundesliga,asian_handicap,FT,away_plus_2,184,1,0.088959,0.057404,0.065217,0.023742,-0.007813,0.052785,0.054040,-0.001255,-0.023775
bundesliga,asian_handicap,FT,home_minus_0_5,198,1,0.580001,0.458319,0.434343,0.145658,0.023976,0.237324,0.216967,0.020357,0.085777
bundesliga,asian_handicap,FT,home_minus_1_5,198,1,0.372431,0.237794,0.232323,0.140107,0.005471,0.178380,0.159182,0.019198,0.107627
bundesliga,asian_handicap,FT,home_minus_2,173,1,0.201634,0.125419,0.121387,0.080246,0.004032,0.095346,0.091331,0.004016,0.042115
bundesliga,asian_handicap,FT,home_plus_0_5,198,1,0.789237,0.704865,0.702020,0.087216,0.002845,0.197730,0.189558,0.008171,0.041325
bundesliga,asian_handicap,FT,home_plus_1,165,1,0.796017,0.845117,0.842424,-0.046407,0.002693,0.119461,0.117157,0.002303,0.019282
bundesliga,asian_handicap,FT,home_plus_1_5,198,1,0.909527,0.865566,0.868687,0.040840,-0.003121,0.105445,0.104116,0.001329,0.012605
bundesliga,asian_handicap,FT,home_plus_2,184,1,0.911041,0.942596,0.934783,-0.023742,0.007813,0.052785,0.054040,-0.001255,-0.023775
bundesliga,asian_total,FT,over,953,1,0.607820,0.622341,0.656873,-0.049053,-0.034532,0.186301,0.185780,0.000521,0.002794
bundesliga,asian_total,FT,under,953,1,0.392180,0.377659,0.343127,0.049053,0.034532,0.186301,0.185780,0.000521,0.002794
bundesliga,asian_total,HT,over,409,1,0.473439,0.501928,0.476773,-0.003334,0.025156,0.229824,0.229073,0.000751,0.003270
bundesliga,asian_total,HT,under,409,1,0.526561,0.498072,0.523227,0.003334,-0.025156,0.229824,0.229073,0.000751,0.003270
bundesliga,btts_algum_tempo,FULL,nao,198,1,0.555974,0.569400,0.479798,0.076176,0.089602,0.271628,0.262676,0.008952,0.032956
bundesliga,btts_algum_tempo,FULL,sim,198,1,0.444026,0.430600,0.520202,-0.076176,-0.089602,0.271628,0.262676,0.008952,0.032956
bundesliga,btts_ambos_tempos,FULL,nao,198,1,0.936741,0.939709,0.909091,0.027650,0.030618,0.083098,0.083155,-0.000057,-0.000689
bundesliga,btts_ambos_tempos,FULL,sim,198,1,0.063259,0.060289,0.090909,-0.027650,-0.030620,0.083098,0.083155,-0.000057,-0.000687
bundesliga,btts,FT,nao,198,1,0.460518,0.443372,0.348485,0.112033,0.094887,0.260069,0.242700,0.017369,0.066787
bundesliga,btts,FT,sim,198,1,0.539482,0.556628,0.651515,-0.112033,-0.094887,0.260069,0.242700,0.017369,0.066787
bundesliga,btts,HT,nao,198,1,0.812016,0.783131,0.772727,0.039289,0.010404,0.178781,0.176091,0.002689,0.015042
bundesliga,btts,HT,sim,198,1,0.187984,0.216869,0.227273,-0.039289,-0.010404,0.178781,0.176091,0.002689,0.015042
bundesliga,cartoes_1x2,FT,away,198,1,0.447025,0.447863,0.439394,0.007631,0.008469,0.248458,0.245616,0.002841,0.011435
bundesliga,cartoes_1x2,FT,draw,198,1,0.211504,0.231453,0.196970,0.014534,0.034483,0.158398,0.159458,-0.001060,-0.006694
bundesliga,cartoes_1x2,FT,home,198,1,0.341471,0.326951,0.363636,-0.022166,-0.036686,0.230838,0.230358,0.000480,0.002080
bundesliga,cartoes,FT,over,2970,1,0.419274,0.466321,0.441751,-0.022477,0.024570,0.169079,0.169283,-0.000204,-0.001209
bundesliga,cartoes,FT,under,2970,1,0.580726,0.533873,0.558249,0.022477,-0.024376,0.169079,0.169216,-0.000137,-0.000810
bundesliga,cartoes,HT,over,1584,1,0.271303,0.339664,0.275253,-0.003950,0.064412,0.156562,0.160444,-0.003882,-0.024797
bundesliga,cartoes,HT,under,1584,1,0.728697,0.663634,0.724747,0.003950,-0.061113,0.156562,0.160312,-0.003751,-0.023957
bundesliga,chutes_alvo,FT,over,3366,1,0.670137,0.646843,0.669935,0.000202,-0.023091,0.176877,0.177183,-0.000306,-0.001729
bundesliga,chutes_alvo,FT,under,3366,1,0.329863,0.353363,0.330065,-0.000202,0.023297,0.176877,0.177189,-0.000312,-0.001762
bundesliga,chutes_alvo,HT,over,1782,1,0.548666,0.602776,0.594837,-0.046172,0.007939,0.207715,0.204828,0.002887,0.013901
bundesliga,chutes_alvo,HT,under,1782,1,0.451334,0.397248,0.405163,0.046172,-0.007915,0.207715,0.204827,0.002888,0.013905
bundesliga,chutes,FT,over,6138,1,0.658840,0.646569,0.648257,0.010583,-0.001687,0.151060,0.149386,0.001674,0.011081
bundesliga,chutes,FT,under,6138,1,0.341160,0.353480,0.351743,-0.010583,0.001737,0.151060,0.149443,0.001617,0.010705
bundesliga,chutes,HT,over,2574,1,0.843523,0.789193,0.792929,0.050594,-0.003737,0.137170,0.134292,0.002878,0.020983
bundesliga,chutes,HT,under,2574,1,0.156477,0.211191,0.207071,-0.050594,0.004120,0.137170,0.134334,0.002836,0.020678
bundesliga,correct_score,FT,0_0,198,1,0.055713,0.056176,0.040404,0.015309,0.015772,0.037814,0.038205,-0.000392,-0.010358
bundesliga,correct_score,FT,0_1,198,1,0.048140,0.064455,0.045455,0.002686,0.019000,0.044303,0.044075,0.000228,0.005148
bundesliga,correct_score,FT,0_2,198,1,0.030299,0.044674,0.020202,0.010097,0.024472,0.020436,0.020817,-0.000381,-0.018624
bundesliga,correct_score,FT,0_3,198,1,0.012973,0.022734,0.020202,-0.007229,0.002532,0.019204,0.019180,0.000024,0.001253
bundesliga,correct_score,FT,0_4,198,1,0.004656,0.007886,0.010101,-0.005445,-0.002215,0.009650,0.009656,-0.000006,-0.000585
bundesliga,correct_score,FT,1_0,198,1,0.086086,0.093664,0.070707,0.015379,0.022957,0.068627,0.067544,0.001083,0.015780
bundesliga,correct_score,FT,1_1,198,1,0.094825,0.122084,0.121212,-0.026387,0.000872,0.105789,0.105140,0.000649,0.006134
bundesliga,correct_score,FT,1_2,198,1,0.050169,0.074804,0.095960,-0.045791,-0.021155,0.088745,0.087880,0.000864,0.009741
bundesliga,correct_score,FT,1_3,198,1,0.020649,0.030257,0.045455,-0.024806,-0.015198,0.043790,0.044083,-0.000293,-0.006688
bundesliga,correct_score,FT,1_4,198,1,0.007099,0.010468,0.010101,-0.003002,0.000367,0.010163,0.010240,-0.000078,-0.007636
bundesliga,correct_score,FT,2_0,198,1,0.088192,0.064763,0.060606,0.027586,0.004157,0.058239,0.057227,0.001012,0.017379
bundesliga,correct_score,FT,2_1,198,1,0.085008,0.093371,0.085859,-0.000851,0.007513,0.079043,0.078818,0.000224,0.002840
bundesliga,correct_score,FT,2_2,198,1,0.045492,0.058331,0.065657,-0.020165,-0.007326,0.061989,0.061473,0.000516,0.008325
bundesliga,correct_score,FT,2_3,198,1,0.017955,0.022415,0.015152,0.002804,0.007264,0.014493,0.014322,0.000171,0.011776
bundesliga,correct_score,FT,2_4,198,1,0.005893,0.008223,0.005051,0.000843,0.003172,0.004969,0.005041,-0.000071,-0.014306
bundesliga,correct_score,FT,3_0,198,1,0.062613,0.039585,0.020202,0.042411,0.019383,0.022269,0.020316,0.001953,0.087692
bundesliga,correct_score,FT,3_1,198,1,0.058182,0.051415,0.060606,-0.002424,-0.009191,0.057089,0.058276,-0.001187,-0.020788
bundesliga,correct_score,FT,3_2,198,1,0.029911,0.025758,0.045455,-0.015544,-0.019697,0.043902,0.043792,0.000111,0.002521
bundesliga,correct_score,FT,3_3,198,1,0.011295,0.011360,0.040404,-0.029109,-0.029044,0.039363,0.039432,-0.000069,-0.001752
bundesliga,correct_score,FT,3_4,198,1,0.003532,0.003748,0.010101,-0.006569,-0.006353,0.010025,0.010027,-0.000002,-0.000157
bundesliga,correct_score,FT,4_0,198,1,0.036451,0.017418,0.040404,-0.003953,-0.022986,0.037292,0.038462,-0.001171,-0.031397
bundesliga,correct_score,FT,4_1,198,1,0.032556,0.019056,0.015152,0.017404,0.003905,0.015150,0.014851,0.000299,0.019728
bundesliga,correct_score,FT,4_2,198,1,0.016026,0.013743,0.005051,0.010975,0.008692,0.005094,0.005054,0.000041,0.007954
bundesliga,correct_score,FT,4_3,198,1,0.005774,0.006761,0,0.005774,0.006761,0.000045,0.000051,-0.000007,-0.148084
bundesliga,correct_score,FT,4_4,198,1,0.001716,0.001281,0,0.001716,0.001281,0.000005,0.000002,0.000003,0.645541
bundesliga,correct_score,FT,other_away,198,1,0.009400,0.013329,0.020202,-0.010802,-0.006873,0.019258,0.018908,0.000350,0.018197
bundesliga,correct_score,FT,other_draw,198,1,0.000194,0,0,0.000194,0,0.000000,0,0.000000,1
bundesliga,correct_score,FT,other_home,198,1,0.079203,0.028875,0.030303,0.048899,-0.001428,0.032419,0.027967,0.004452,0.137325
bundesliga,correct_score,HT,0_0,198,1,0.296216,0.269748,0.247475,0.048742,0.022274,0.184817,0.182673,0.002144,0.011600
bundesliga,correct_score,HT,0_1,198,1,0.119694,0.156171,0.146465,-0.026771,0.009707,0.123589,0.122864,0.000725,0.005866
bundesliga,correct_score,HT,0_2,198,1,0.029811,0.045235,0.050505,-0.020695,-0.005271,0.045837,0.044714,0.001123,0.024494
bundesliga,correct_score,HT,1_0,198,1,0.221579,0.199075,0.191919,0.029660,0.007156,0.157410,0.157305,0.000104,0.000662
bundesliga,correct_score,HT,1_1,198,1,0.096810,0.113368,0.121212,-0.024403,-0.007844,0.108011,0.107146,0.000865,0.008008
bundesliga,correct_score,HT,1_2,198,1,0.021041,0.033995,0.025253,-0.004212,0.008743,0.024912,0.025104,-0.000192,-0.007726
bundesliga,correct_score,HT,2_0,198,1,0.097176,0.072150,0.085859,0.011317,-0.013709,0.075970,0.075983,-0.000013,-0.000174
bundesliga,correct_score,HT,2_1,198,1,0.037753,0.038864,0.040404,-0.002651,-0.001540,0.038452,0.038694,-0.000241,-0.006278
bundesliga,correct_score,HT,2_2,198,1,0.008171,0.011571,0.020202,-0.012031,-0.008631,0.019901,0.019831,0.000070,0.003528
bundesliga,correct_score,HT,other,198,1,0.071750,0.058879,0.070707,0.001043,-0.011829,0.063157,0.064124,-0.000967,-0.015303
bundesliga,dnb,2T,away,121,1,0.279734,0.408868,0.429752,-0.150018,-0.020884,0.235668,0.215366,0.020302,0.086147
bundesliga,dnb,2T,home,121,1,0.720266,0.591132,0.570248,0.150018,0.020884,0.235668,0.215366,0.020302,0.086147
bundesliga,dnb,FT,away,145,1,0.268514,0.390528,0.406897,-0.138382,-0.016368,0.224364,0.204710,0.019654,0.087601
bundesliga,dnb,FT,home,145,1,0.731486,0.609472,0.593103,0.138382,0.016368,0.224364,0.204710,0.019654,0.087601
bundesliga,dupla,2T,12,198,1,0.694052,0.670955,0.611111,0.082941,0.059844,0.237044,0.236089,0.000955,0.004028
bundesliga,dupla,2T,1x,198,1,0.798795,0.718390,0.737374,0.061421,-0.018983,0.189145,0.186316,0.002828,0.014953
bundesliga,dupla,2T,x2,198,1,0.507153,0.612378,0.651515,-0.144362,-0.039137,0.222737,0.206741,0.015996,0.071815
bundesliga,dupla,FT,12,198,1,0.790765,0.753546,0.732323,0.058441,0.021223,0.194021,0.192826,0.001195,0.006160
bundesliga,dupla,FT,1x,198,1,0.789237,0.704865,0.702020,0.087216,0.002845,0.197730,0.189558,0.008171,0.041325
bundesliga,dupla,FT,x2,198,1,0.419999,0.541681,0.565657,-0.145658,-0.023976,0.237324,0.216967,0.020357,0.085777
bundesliga,dupla,HT,12,198,1,0.598442,0.604103,0.611111,-0.012669,-0.007008,0.232833,0.233696,-0.000863,-0.003708
bundesliga,dupla,HT,1x,198,1,0.817403,0.746322,0.757576,0.059827,-0.011254,0.179591,0.175919,0.003673,0.020449
bundesliga,dupla,HT,x2,198,1,0.584155,0.643031,0.631313,-0.047158,0.011718,0.220486,0.219236,0.001249,0.005667
bundesliga,escanteios_1x2,FT,away,198,1,0.318482,0.346831,0.318182,0.000300,0.028649,0.196528,0.198482,-0.001954,-0.009941
bundesliga,escanteios_1x2,FT,draw,198,1,0.118342,0.090802,0.116162,0.002180,-0.025359,0.102589,0.103123,-0.000533,-0.005199
bundesliga,escanteios_1x2,FT,home,198,1,0.563176,0.564548,0.565657,-0.002480,-0.001109,0.226738,0.227248,-0.000510,-0.002251
bundesliga,escanteios_1x2,HT,away,198,1,0.320798,0.338853,0.323232,-0.002434,0.015620,0.219689,0.220260,-0.000571,-0.002599
bundesliga,escanteios_1x2,HT,draw,198,1,0.197615,0.148173,0.131313,0.066302,0.016860,0.118984,0.114440,0.004544,0.038190
bundesliga,escanteios_1x2,HT,home,198,1,0.481587,0.512461,0.545455,-0.063867,-0.032994,0.249790,0.246636,0.003154,0.012626
bundesliga,escanteios,FT,over,3960,1,0.428554,0.426040,0.420960,0.007594,0.005080,0.194082,0.192198,0.001884,0.009708
bundesliga,escanteios,FT,under,3960,1,0.571446,0.573369,0.579040,-0.007594,-0.005671,0.194082,0.192215,0.001867,0.009618
bundesliga,escanteios,HT,over,2970,1,0.409499,0.453183,0.437037,-0.027538,0.016146,0.182687,0.181702,0.000985,0.005392
bundesliga,escanteios,HT,under,2970,1,0.590501,0.547105,0.562963,0.027538,-0.015858,0.182687,0.181664,0.001023,0.005599
bundesliga,escanteios_exato,FT,eq_0,198,1,0.000087,0,0,0.000087,0,0.000000,0,0.000000,1
bundesliga,escanteios_exato,FT,eq_1,198,1,0.000778,0.000432,0.005051,-0.004272,-0.004618,0.005040,0.005045,-0.000005,-0.000917
bundesliga,escanteios_exato,FT,eq_10,198,1,0.119286,0.118838,0.141414,-0.022128,-0.022577,0.122484,0.122021,0.000464,0.003785
bundesliga,escanteios_exato,FT,eq_11,198,1,0.106133,0.113011,0.065657,0.040476,0.047354,0.062997,0.063664,-0.000667,-0.010581
bundesliga,escanteios_exato,FT,eq_12,198,1,0.087309,0.079132,0.065657,0.021653,0.013476,0.062190,0.061643,0.000547,0.008801
bundesliga,escanteios_exato,FT,eq_13,198,1,0.066869,0.065502,0.080808,-0.013939,-0.015306,0.074887,0.074632,0.000255,0.003403
bundesliga,escanteios_exato,FT,eq_14,198,1,0.047961,0.048949,0.070707,-0.022746,-0.021758,0.065924,0.065864,0.000060,0.000912
bundesliga,escanteios_exato,FT,eq_15_plus,198,1,0.080858,0.090268,0.085859,-0.005001,0.004409,0.082787,0.078860,0.003927,0.047438
bundesliga,escanteios_exato,FT,eq_2,198,1,0.003522,0.003990,0.005051,-0.001529,-0.001060,0.005045,0.005034,0.000011,0.002203
bundesliga,escanteios_exato,FT,eq_3,198,1,0.010715,0.011954,0.010101,0.000614,0.001853,0.009948,0.009994,-0.000046,-0.004579
bundesliga,escanteios_exato,FT,eq_4,198,1,0.024659,0.027062,0.040404,-0.015745,-0.013342,0.038881,0.038780,0.000101,0.002597
bundesliga,escanteios_exato,FT,eq_5,198,1,0.045797,0.044755,0.045455,0.000343,-0.000700,0.043330,0.043217,0.000112,0.002591
bundesliga,escanteios_exato,FT,eq_6,198,1,0.071503,0.076566,0.055556,0.015947,0.021010,0.052997,0.052892,0.000105,0.001985
bundesliga,escanteios_exato,FT,eq_7,198,1,0.096534,0.100104,0.101010,-0.004476,-0.000906,0.094272,0.091525,0.002747,0.029140
bundesliga,escanteios_exato,FT,eq_8,198,1,0.115044,0.106405,0.121212,-0.006168,-0.014808,0.107831,0.107106,0.000725,0.006725
bundesliga,escanteios_exato,FT,eq_9,198,1,0.122945,0.120370,0.106061,0.016884,0.014309,0.094491,0.094941,-0.000450,-0.004763
bundesliga,faltas,FT,over,2772,1,0.467248,0.427074,0.352092,0.115156,0.074981,0.202118,0.192740,0.009378,0.046399
bundesliga,faltas,FT,under,2772,1,0.532752,0.572941,0.647908,-0.115156,-0.074967,0.202118,0.192754,0.009364,0.046329
bundesliga,gols,FT,over,3168,1,0.384828,0.375528,0.394886,-0.010059,-0.019358,0.136392,0.137497,-0.001105,-0.008104
bundesliga,gols,FT,under,3168,1,0.615172,0.624488,0.605114,0.010059,0.019375,0.136392,0.137497,-0.001105,-0.008100
bundesliga,gols,HT,over,1584,1,0.302432,0.342189,0.334596,-0.032164,0.007593,0.166707,0.165762,0.000945,0.005669
bundesliga,gols,HT,under,1584,1,0.697568,0.657805,0.665404,0.032164,-0.007599,0.166707,0.165762,0.000945,0.005667
bundesliga,gols,2T,over,792,1,0.455469,0.401527,0.448232,0.007237,-0.046705,0.162267,0.164450,-0.002183,-0.013451
bundesliga,gols,2T,under,792,1,0.544531,0.598473,0.551768,-0.007237,0.046705,0.162267,0.164450,-0.002183,-0.013451
bundesliga,handicap,FT,away_minus_1,198,1,0.419999,0.541681,0.565657,-0.145658,-0.023976,0.237324,0.216967,0.020357,0.085777
bundesliga,handicap,FT,away_minus_2,198,1,0.627569,0.762206,0.767677,-0.140107,-0.005471,0.178380,0.159182,0.019198,0.107627
bundesliga,handicap,FT,away_plus_1,198,1,0.090473,0.134434,0.131313,-0.040840,0.003121,0.105445,0.104116,0.001329,0.012605
bundesliga,handicap,FT,away_plus_2,198,1,0.032534,0.054410,0.060606,-0.028072,-0.006196,0.051531,0.051031,0.000500,0.009702
bundesliga,handicap,FT,draw_minus_1,198,1,0.207571,0.219377,0.202020,0.005550,0.017356,0.161611,0.161722,-0.000111,-0.000685
bundesliga,handicap,FT,draw_minus_2,198,1,0.165262,0.128306,0.126263,0.039000,0.002043,0.111047,0.109328,0.001719,0.015482
bundesliga,handicap,FT,draw_plus_1,198,1,0.120291,0.163612,0.166667,-0.046376,-0.003055,0.139329,0.137200,0.002129,0.015282
bundesliga,handicap,FT,draw_plus_2,198,1,0.057938,0.081395,0.070707,-0.012769,0.010688,0.066003,0.065644,0.000359,0.005432
bundesliga,handicap,FT,home_minus_1,198,1,0.372431,0.237794,0.232323,0.140107,0.005471,0.178380,0.159182,0.019198,0.107627
bundesliga,handicap,FT,home_minus_2,198,1,0.207168,0.106655,0.106061,0.101107,0.000594,0.094213,0.084242,0.009971,0.105830
bundesliga,handicap,FT,home_plus_1,198,1,0.789237,0.704865,0.702020,0.087216,0.002845,0.197730,0.189558,0.008171,0.041325
bundesliga,handicap,FT,home_plus_2,198,1,0.909527,0.865566,0.868687,0.040840,-0.003121,0.105445,0.104116,0.001329,0.012605
bundesliga,htft,FULL,1_1,198,1,0.362668,0.279324,0.277778,0.084890,0.001547,0.190145,0.184922,0.005224,0.027471
bundesliga,htft,FULL,1_2,198,1,0.015113,0.022836,0.040404,-0.025291,-0.017568,0.039326,0.039006,0.000320,0.008127
bundesliga,htft,FULL,1_x,198,1,0.038064,0.055790,0.050505,-0.012441,0.005285,0.047780,0.047722,0.000059,0.001227
bundesliga,htft,FULL,2_1,198,1,0.030245,0.032265,0.035354,-0.005108,-0.003089,0.034222,0.034178,0.000044,0.001295
bundesliga,htft,FULL,2_2,198,1,0.114175,0.164632,0.161616,-0.047442,0.003015,0.127345,0.124158,0.003187,0.025024
bundesliga,htft,FULL,2_x,198,1,0.038177,0.057350,0.045455,-0.007277,0.011896,0.043678,0.044114,-0.000436,-0.009985
bundesliga,htft,FULL,x_1,198,1,0.190583,0.147359,0.121212,0.069371,0.026146,0.109171,0.105337,0.003834,0.035122
bundesliga,htft,FULL,x_2,198,1,0.083902,0.109505,0.095960,-0.012058,0.013546,0.086981,0.086592,0.000388,0.004461
bundesliga,htft,FULL,x_x,198,1,0.127074,0.138673,0.171717,-0.044643,-0.033044,0.140953,0.140459,0.000494,0.003507
bundesliga,impedimentos,FT,over,1980,1,0.499071,0.478718,0.447980,0.051091,0.030738,0.208533,0.205579,0.002955,0.014169
bundesliga,impedimentos,FT,under,1980,1,0.500929,0.521952,0.552020,-0.051091,-0.030068,0.208533,0.205507,0.003027,0.014514
bundesliga,marca,FT,away_nao,198,1,0.362358,0.284608,0.242424,0.119934,0.042184,0.206248,0.185597,0.020651,0.100125
bundesliga,marca,FT,away_sim,198,1,0.637642,0.715392,0.757576,-0.119934,-0.042184,0.206248,0.185597,0.020651,0.100125
bundesliga,marca,FT,home_nao,198,1,0.153873,0.197952,0.146465,0.007408,0.051488,0.120978,0.123051,-0.002072,-0.017128
bundesliga,marca,FT,home_sim,198,1,0.846127,0.802048,0.853535,-0.007408,-0.051488,0.120978,0.123051,-0.002072,-0.017128
bundesliga,margem,FT,away_1,198,1,0.120291,0.163612,0.166667,-0.046376,-0.003055,0.139329,0.137200,0.002129,0.015282
bundesliga,margem,FT,away_2,198,1,0.057938,0.081395,0.070707,-0.012769,0.010688,0.066003,0.065644,0.000359,0.005432
bundesliga,margem,FT,away_3,198,1,0.022070,0.035541,0.035354,-0.013283,0.000187,0.033424,0.033281,0.000143,0.004275
bundesliga,margem,FT,away_4_plus,198,1,0.010464,0.018259,0.025253,-0.014788,-0.006994,0.022622,0.022442,0.000179,0.007932
bundesliga,margem,FT,draw,198,1,0.209235,0.246454,0.267677,-0.058441,-0.021223,0.194021,0.192826,0.001195,0.006160
bundesliga,margem,FT,home_1,198,1,0.207571,0.219377,0.202020,0.005550,0.017356,0.161611,0.161722,-0.000111,-0.000685
bundesliga,margem,FT,home_2,198,1,0.165262,0.128306,0.126263,0.039000,0.002043,0.111047,0.109328,0.001719,0.015482
bundesliga,margem,FT,home_3,198,1,0.103793,0.062966,0.040404,0.063389,0.022562,0.041686,0.038225,0.003461,0.083021
bundesliga,margem,FT,home_4_plus,198,1,0.103375,0.042108,0.065657,0.037718,-0.023549,0.059357,0.057915,0.001442,0.024297
bundesliga,asian_handicap,FT,away_minus_1,158,1,0.634358,0.691441,0.708861,-0.074502,-0.017420,0.174625,0.170812,0.003813,0.021837
bundesliga,asian_handicap,FT,home_minus_1,158,1,0.365642,0.308559,0.291139,0.074502,0.017420,0.174625,0.170812,0.003813,0.021837
primeira-liga,1x2,2T,away,198,1,0.248254,0.306411,0.257576,-0.009321,0.048836,0.179747,0.178687,0.001060,0.005897
primeira-liga,1x2,2T,draw,198,1,0.323904,0.329577,0.338384,-0.014479,-0.008807,0.231854,0.226680,0.005174,0.022315
primeira-liga,1x2,2T,home,198,1,0.427841,0.363489,0.404040,0.023801,-0.040551,0.245419,0.233829,0.011590,0.047227
primeira-liga,1x2,FT,away,198,1,0.284605,0.350961,0.292929,-0.008324,0.058032,0.181177,0.182481,-0.001304,-0.007195
primeira-liga,1x2,FT,draw,198,1,0.216442,0.246244,0.272727,-0.056285,-0.026483,0.192112,0.190596,0.001515,0.007888
primeira-liga,1x2,FT,home,198,1,0.498953,0.422362,0.434343,0.064609,-0.011981,0.215364,0.202455,0.012909,0.059941
primeira-liga,1x2,HT,away,198,1,0.211464,0.285158,0.232323,-0.020860,0.052835,0.164781,0.167246,-0.002465,-0.014960
primeira-liga,1x2,HT,draw,198,1,0.427870,0.407656,0.454545,-0.026675,-0.046890,0.253312,0.250545,0.002767,0.010923
primeira-liga,1x2,HT,home,198,1,0.360666,0.323479,0.313131,0.047535,0.010347,0.195306,0.190964,0.004341,0.022229
primeira-liga,asian_handicap,FT,away_minus_0_5,198,1,0.501047,0.577638,0.565657,-0.064609,0.011981,0.215364,0.202455,0.012909,0.059941
primeira-liga,asian_handicap,FT,away_minus_1,159,1,0.690677,0.721738,0.704403,-0.013726,0.017336,0.160745,0.157712,0.003033,0.018866
primeira-liga,asian_handicap,FT,away_minus_1_5,198,1,0.679130,0.779358,0.762626,-0.083496,0.016731,0.168107,0.149003,0.019104,0.113644
primeira-liga,asian_handicap,FT,away_minus_2,176,1,0.822953,0.884051,0.857955,-0.035002,0.026096,0.103207,0.097970,0.005237,0.050742
primeira-liga,asian_handicap,FT,away_plus_0_5,198,1,0.284605,0.350961,0.292929,-0.008324,0.058032,0.181177,0.182481,-0.001304,-0.007195
primeira-liga,asian_handicap,FT,away_plus_1,160,1,0.258183,0.202017,0.125000,0.133183,0.077017,0.121366,0.099352,0.022014,0.181389
primeira-liga,asian_handicap,FT,away_plus_1_5,198,1,0.143865,0.171542,0.101010,0.042854,0.070532,0.091844,0.089593,0.002251,0.024506
primeira-liga,asian_handicap,FT,away_plus_2,188,1,0.139081,0.089520,0.053191,0.085890,0.036329,0.063265,0.046835,0.016430,0.259704
primeira-liga,asian_handicap,FT,home_minus_0_5,198,1,0.498953,0.422362,0.434343,0.064609,-0.011981,0.215364,0.202455,0.012909,0.059941
primeira-liga,asian_handicap,FT,home_minus_1,159,1,0.309323,0.278262,0.295597,0.013726,-0.017336,0.160745,0.157712,0.003033,0.018866
primeira-liga,asian_handicap,FT,home_minus_1_5,198,1,0.320870,0.221244,0.237374,0.083496,-0.016130,0.168107,0.149056,0.019051,0.113324
primeira-liga,asian_handicap,FT,home_minus_2,176,1,0.177047,0.115949,0.142045,0.035002,-0.026096,0.103207,0.097970,0.005237,0.050742
primeira-liga,asian_handicap,FT,home_plus_0_5,198,1,0.715395,0.644826,0.707071,0.008324,-0.062245,0.181177,0.183059,-0.001882,-0.010385
primeira-liga,asian_handicap,FT,home_plus_1,160,1,0.741817,0.797746,0.875000,-0.133183,-0.077254,0.121366,0.099355,0.022011,0.181363
primeira-liga,asian_handicap,FT,home_plus_1_5,198,1,0.856135,0.828461,0.898990,-0.042854,-0.070528,0.091844,0.089593,0.002251,0.024507
primeira-liga,asian_handicap,FT,home_plus_2,188,1,0.860919,0.910481,0.946809,-0.085890,-0.036328,0.063265,0.046835,0.016430,0.259704
primeira-liga,asian_total,FT,over,951,1,0.517956,0.520369,0.545741,-0.027786,-0.025372,0.234440,0.232196,0.002244,0.009571
primeira-liga,asian_total,FT,under,951,1,0.482044,0.479631,0.454259,0.027786,0.025372,0.234440,0.232196,0.002244,0.009571
primeira-liga,asian_total,HT,over,424,1,0.419784,0.396851,0.375000,0.044784,0.021851,0.246064,0.232290,0.013773,0.055975
primeira-liga,asian_total,HT,under,424,1,0.580216,0.603149,0.625000,-0.044784,-0.021851,0.246064,0.232290,0.013773,0.055975
primeira-liga,btts_algum_tempo,FULL,nao,198,1,0.677484,0.618191,0.616162,0.061322,0.002030,0.266653,0.243387,0.023265,0.087249
