liga,family,period,direction,n,coverage,brier_raw,brier_cal,delta_brier,delta_brier_rel,log_loss_raw,log_loss_cal,delta_log_loss,gap_raw,gap_cal
championship,marca,FT,home_sim,435,1.0000,0.179595,0.172533,-0.007062,-0.039323,0.551455,0.529887,-0.021568,0.019731,0.037263
liga-mx,chutes_alvo,HT,under,2115,1.0000,0.216631,0.209589,-0.007042,-0.032509,0.623217,0.607253,-0.015964,-0.072410,-0.014680
liga-mx,chutes_alvo,HT,over,2115,1.0000,0.216631,0.209593,-0.007038,-0.032489,0.623217,0.607261,-0.015956,0.072410,0.014756
championship,1x2,2T,away,435,1.0000,0.213121,0.206085,-0.007037,-0.033017,0.634228,0.603312,-0.030915,0.047116,-0.025900
championship,dupla,2T,1x,435,1.0000,0.213121,0.206090,-0.007031,-0.032992,0.634228,0.603342,-0.030886,-0.047116,0.025888
brasileirao,btts_algum_tempo,FULL,sim,1845,1.0000,0.240495,0.233478,-0.007017,-0.029178,0.678650,0.659819,-0.018831,0.044416,0.000741
brasileirao,btts_algum_tempo,FULL,nao,1845,1.0000,0.240495,0.233478,-0.007017,-0.029178,0.678650,0.659819,-0.018831,-0.044416,-0.000741
bundesliga,asian_handicap,FT,away_minus_1,1114,1.0000,0.195398,0.188400,-0.006998,-0.035817,0.587434,0.560115,-0.027319,0.073958,0.014564
bundesliga,asian_handicap,FT,home_minus_1,1114,1.0000,0.195398,0.188400,-0.006998,-0.035817,0.587434,0.560115,-0.027319,-0.073958,-0.014564
liga-mx,escanteios_exato,FT,eq_15_plus,235,1.0000,0.078178,0.071187,-0.006992,-0.089431,0.317711,0.272090,-0.045621,0.004959,-0.007777
la-liga,asian_handicap,FT,home_minus_2,1520,1.0000,0.091499,0.084521,-0.006979,-0.076269,0.313128,0.293300,-0.019829,-0.068418,-0.004062
la-liga,asian_handicap,FT,away_minus_2,1520,1.0000,0.091499,0.084521,-0.006979,-0.076269,0.313128,0.293300,-0.019829,0.068418,0.004062
la-liga,asian_total,HT,under,3558,1.0000,0.224732,0.217754,-0.006978,-0.031051,0.643042,0.626334,-0.016708,0.034383,0.002062
la-liga,asian_total,HT,over,3558,1.0000,0.224732,0.217754,-0.006978,-0.031051,0.643042,0.626334,-0.016708,-0.034383,-0.002062
superliga-argentina,cartoes,FT,under,8715,1.0000,0.171815,0.164894,-0.006921,-0.040284,0.514148,0.499314,-0.014834,-0.076449,0.015448
superliga-argentina,cartoes,FT,over,8715,1.0000,0.171815,0.164954,-0.006861,-0.039935,0.514148,0.497101,-0.017047,0.076449,-0.016623
serie-a,marca,FT,away_nao,1708,1.0000,0.209632,0.202780,-0.006851,-0.032683,0.607762,0.592087,-0.015675,-0.073083,0.017463
serie-a,marca,FT,away_sim,1708,1.0000,0.209632,0.202780,-0.006851,-0.032683,0.607762,0.592087,-0.015675,0.073083,-0.017463
superliga-argentina,margem,FT,home_4_plus,581,1.0000,0.020903,0.014063,-0.006840,-0.327247,0.099101,0.072085,-0.027016,-0.043318,-0.011403
liga-mx,btts,HT,nao,235,1.0000,0.189793,0.182962,-0.006831,-0.035994,0.581928,0.553673,-0.028255,-0.067641,-0.030060
liga-mx,btts,HT,sim,235,1.0000,0.189793,0.182962,-0.006831,-0.035994,0.581928,0.553673,-0.028255,0.067641,0.030060
serie-b-italia,asian_handicap,FT,away_minus_1,213,1.0000,0.193017,0.186204,-0.006812,-0.035294,0.579159,0.559015,-0.020144,0.061145,0.006645
serie-b-italia,asian_handicap,FT,home_minus_1,213,1.0000,0.193017,0.186204,-0.006812,-0.035294,0.579159,0.559015,-0.020144,-0.061145,-0.006645
primeira-liga,asian_handicap,FT,away_minus_2,183,1.0000,0.102359,0.095583,-0.006776,-0.066200,0.340716,0.323279,-0.017437,0.039367,-0.021180
primeira-liga,asian_handicap,FT,home_minus_2,183,1.0000,0.102359,0.095583,-0.006776,-0.066200,0.340716,0.323279,-0.017437,-0.039367,0.021180
primeira-liga,btts,HT,nao,205,1.0000,0.156413,0.149743,-0.006670,-0.042640,0.511402,0.477266,-0.034136,-0.051102,0.007055
primeira-liga,btts,HT,sim,205,1.0000,0.156413,0.149743,-0.006670,-0.042640,0.511402,0.477266,-0.034136,0.051102,-0.007055
ligue-1,chutes_alvo,HT,under,13590,1.0000,0.212724,0.206063,-0.006661,-0.031314,0.614298,0.600537,-0.013761,-0.073727,0.000888
ligue-1,chutes_alvo,HT,over,13590,1.0000,0.212724,0.206094,-0.006631,-0.031170,0.614298,0.602395,-0.011903,0.073727,-0.001296
championship,chutes_alvo,HT,over,3915,1.0000,0.218578,0.211987,-0.006590,-0.030150,0.628510,0.613077,-0.015433,0.078121,0.019710
championship,chutes_alvo,HT,under,3915,1.0000,0.218578,0.212029,-0.006548,-0.029959,0.628510,0.613190,-0.015319,-0.078121,-0.020051
serie-a,dupla,2T,x2,1708,1.0000,0.221276,0.214730,-0.006545,-0.029580,0.638789,0.618512,-0.020278,0.072270,-0.006152
serie-a,1x2,2T,home,1708,1.0000,0.221276,0.214730,-0.006545,-0.029580,0.638789,0.618512,-0.020278,-0.072270,0.006152
la-liga-2,marca,FT,home_nao,312,1.0000,0.172240,0.165714,-0.006525,-0.037885,0.529302,0.510683,-0.018619,-0.021466,-0.035405
la-liga-2,marca,FT,home_sim,312,1.0000,0.172240,0.165714,-0.006525,-0.037885,0.529302,0.510683,-0.018619,0.021466,0.035405
la-liga,margem,FT,home_4_plus,1710,1.0000,0.038485,0.031963,-0.006521,-0.169455,0.157347,0.133142,-0.024205,-0.051015,-0.000886
liga-mx,dupla,FT,12,235,1.0000,0.198844,0.192345,-0.006499,-0.032684,0.602308,0.574660,-0.027648,-0.055331,-0.014309
liga-mx,1x2,FT,draw,235,1.0000,0.198844,0.192345,-0.006499,-0.032684,0.602308,0.574660,-0.027648,0.055331,0.014309
liga-mx,margem,FT,draw,235,1.0000,0.198844,0.192345,-0.006499,-0.032684,0.602308,0.574660,-0.027648,0.055331,0.014309
serie-b-italia,1x2,HT,away,277,1.0000,0.179572,0.173091,-0.006481,-0.036092,0.559074,0.529219,-0.029855,0.076583,0.003421
serie-b-italia,dupla,HT,1x,277,1.0000,0.179572,0.173101,-0.006471,-0.036033,0.559074,0.529281,-0.029793,-0.076583,-0.003372
brasileirao-b,correct_score,HT,0_0,310,1.0000,0.242808,0.236375,-0.006432,-0.026491,0.679727,0.666302,-0.013424,-0.032401,0.048928
superliga-argentina,asian_total,FT,over,2740,1.0000,0.201245,0.194829,-0.006416,-0.031883,0.596653,0.572699,-0.023953,-0.024897,-0.000949
superliga-argentina,asian_total,FT,under,2740,1.0000,0.201245,0.194829,-0.006416,-0.031883,0.596653,0.572699,-0.023953,0.024897,0.000949
serie-b-italia,dupla,2T,1x,277,1.0000,0.186024,0.179666,-0.006358,-0.034179,0.565510,0.540467,-0.025043,-0.074714,0.008847
brasileirao,asian_handicap,FT,home_plus_1,1538,1.0000,0.100287,0.093931,-0.006356,-0.063383,0.348372,0.329799,-0.018573,0.068090,0.024766
brasileirao,asian_handicap,FT,away_plus_1,1538,1.0000,0.100287,0.093931,-0.006356,-0.063383,0.348372,0.329799,-0.018573,-0.068090,-0.024766
serie-b-italia,1x2,2T,away,277,1.0000,0.186024,0.179674,-0.006351,-0.034138,0.565510,0.540506,-0.025004,0.074714,-0.008896
liga-mx,1x2,FT,away,235,1.0000,0.192236,0.186004,-0.006232,-0.032418,0.587693,0.553465,-0.034228,0.067341,-0.016967
liga-mx,asian_handicap,FT,away_plus_0_5,235,1.0000,0.192236,0.186004,-0.006232,-0.032418,0.587693,0.553465,-0.034228,0.067341,-0.016967
ligue-1,dupla,HT,1x,1510,1.0000,0.193073,0.186868,-0.006204,-0.032135,0.576559,0.557516,-0.019043,-0.080861,-0.009880
ligue-1,1x2,HT,away,1510,1.0000,0.193073,0.186870,-0.006202,-0.032125,0.576559,0.557525,-0.019034,0.080861,0.009872
ligue-1,asian_total,HT,over,3118,1.0000,0.237613,0.231472,-0.006141,-0.025844,0.670116,0.655459,-0.014657,-0.014545,-0.002664
ligue-1,asian_total,HT,under,3118,1.0000,0.237613,0.231472,-0.006141,-0.025844,0.670116,0.655459,-0.014657,0.014545,0.002664
la-liga-2,1x2,FT,home,312,1.0000,0.249203,0.243077,-0.006127,-0.024584,0.700909,0.681140,-0.019769,-0.048253,0.056187
la-liga-2,asian_handicap,FT,away_minus_0_5,312,1.0000,0.249203,0.243077,-0.006127,-0.024584,0.700909,0.681140,-0.019769,0.048253,-0.056187
la-liga-2,asian_handicap,FT,home_minus_0_5,312,1.0000,0.249203,0.243077,-0.006127,-0.024584,0.700909,0.681140,-0.019769,-0.048253,0.056187
la-liga-2,dupla,FT,x2,312,1.0000,0.249203,0.243077,-0.006127,-0.024584,0.700909,0.681140,-0.019769,0.048253,-0.056187
la-liga-2,handicap,FT,away_minus_1,312,1.0000,0.249203,0.243077,-0.006127,-0.024584,0.700909,0.681140,-0.019769,0.048253,-0.056187
liga-mx,dupla,FT,1x,235,1.0000,0.192236,0.186141,-0.006094,-0.031702,0.587693,0.554512,-0.033181,-0.067341,0.017921
liga-mx,asian_handicap,FT,home_plus_0_5,235,1.0000,0.192236,0.186141,-0.006094,-0.031702,0.587693,0.554512,-0.033181,-0.067341,0.017921
liga-mx,handicap,FT,home_plus_1,235,1.0000,0.192236,0.186141,-0.006094,-0.031702,0.587693,0.554512,-0.033181,-0.067341,0.017921
primeira-liga,escanteios_1x2,HT,draw,205,1.0000,0.105944,0.099856,-0.006088,-0.057468,0.376185,0.355030,-0.021155,-0.099162,-0.048372
la-liga-2,escanteios_1x2,FT,home,312,1.0000,0.261143,0.255108,-0.006034,-0.023108,0.723194,0.785661,0.062467,-0.037589,-0.039751
brasileirao-b,cartoes_1x2,FT,home,310,1.0000,0.215601,0.209592,-0.006009,-0.027871,0.612386,0.606864,-0.005522,-0.004621,0.016409
la-liga-2,htft,FULL,1_1,312,1.0000,0.187319,0.181315,-0.006004,-0.032051,0.555518,0.544191,-0.011327,-0.059373,0.007104
serie-a,asian_handicap,FT,home_minus_2,1523,1.0000,0.083059,0.077076,-0.005983,-0.072037,0.290491,0.273385,-0.017105,-0.056712,-0.002705
serie-a,asian_handicap,FT,away_minus_2,1523,1.0000,0.083059,0.077076,-0.005983,-0.072037,0.290491,0.273385,-0.017105,0.056712,0.002705
primeira-liga,escanteios,HT,under,3075,1.0000,0.196964,0.190987,-0.005977,-0.030346,0.599168,0.569713,-0.029454,-0.072074,-0.021730
brasileirao,htft,FULL,1_1,1845,1.0000,0.202576,0.196599,-0.005976,-0.029503,0.591874,0.579705,-0.012170,-0.060549,-0.000373
primeira-liga,escanteios,HT,over,3075,1.0000,0.196964,0.191027,-0.005937,-0.030142,0.599168,0.569870,-0.029298,0.072074,0.022106
serie-b-italia,1x2,FT,away,277,1.0000,0.191239,0.185315,-0.005924,-0.030975,0.575411,0.549983,-0.025428,0.065668,-0.018009
serie-b-italia,asian_handicap,FT,away_plus_0_5,277,1.0000,0.191239,0.185315,-0.005924,-0.030975,0.575411,0.549983,-0.025428,0.065668,-0.018009
serie-b-italia,escanteios,HT,under,4155,1.0000,0.187466,0.181552,-0.005914,-0.031548,0.563397,0.542810,-0.020587,-0.074363,-0.024693
brasileirao,chutes_alvo,HT,under,16605,1.0000,0.211363,0.205454,-0.005909,-0.027957,0.611126,0.597877,-0.013250,-0.071296,0.002076
brasileirao,chutes_alvo,HT,over,16605,1.0000,0.211363,0.205471,-0.005892,-0.027875,0.611126,0.605343,-0.005784,0.071296,-0.001472
brasileirao-b,dupla,HT,1x,310,1.0000,0.158186,0.152300,-0.005886,-0.037211,0.501752,0.477488,-0.024263,-0.074271,0.000251
ligue-1,htft,FULL,1_1,1510,1.0000,0.191463,0.185578,-0.005885,-0.030736,0.565574,0.553555,-0.012020,-0.061294,0.012363
serie-b-italia,escanteios,HT,over,4155,1.0000,0.187466,0.181620,-0.005846,-0.031185,0.563397,0.542968,-0.020429,0.074363,0.025067
serie-b-italia,dupla,FT,1x,277,1.0000,0.191239,0.185400,-0.005839,-0.030532,0.575411,0.550604,-0.024806,-0.065668,0.018584
serie-b-italia,asian_handicap,FT,home_plus_0_5,277,1.0000,0.191239,0.185400,-0.005839,-0.030532,0.575411,0.550604,-0.024806,-0.065668,0.018584
serie-b-italia,handicap,FT,home_plus_1,277,1.0000,0.191239,0.185400,-0.005839,-0.030532,0.575411,0.550604,-0.024806,-0.065668,0.018584
serie-a,btts,FT,sim,1708,1.0000,0.255353,0.249524,-0.005829,-0.022826,0.705656,0.692122,-0.013534,0.025775,-0.027356
serie-a,btts,FT,nao,1708,1.0000,0.255353,0.249524,-0.005829,-0.022826,0.705656,0.692122,-0.013534,-0.025775,0.027356
premier-league,dupla,HT,1x,1712,1.0000,0.190679,0.184858,-0.005821,-0.030528,0.584640,0.554562,-0.030078,-0.074320,-0.002149
brasileirao-b,1x2,HT,away,310,1.0000,0.158186,0.152381,-0.005806,-0.036701,0.501752,0.477775,-0.023977,0.074271,0.000458
serie-b-italia,cartoes_1x2,FT,away,277,1.0000,0.258819,0.253017,-0.005802,-0.022416,0.711817,0.699257,-0.012560,0.038536,0.045604
bundesliga,1x2,HT,home,1353,1.0000,0.221913,0.216112,-0.005801,-0.026139,0.643864,0.622482,-0.021382,-0.075369,-0.012194
liga-mx,gols,2T,over,940,1.0000,0.184119,0.178346,-0.005773,-0.031353,0.555761,0.538264,-0.017497,-0.071297,-0.030445
liga-mx,gols,2T,under,940,1.0000,0.184119,0.178346,-0.005773,-0.031353,0.555761,0.538264,-0.017497,0.071297,0.030445
brasileirao,cartoes,FT,over,27675,1.0000,0.179037,0.173270,-0.005767,-0.032211,0.534231,0.517570,-0.016662,0.067944,-0.003602
brasileirao,cartoes,FT,under,27675,1.0000,0.179037,0.173273,-0.005765,-0.032199,0.534231,0.517567,-0.016664,-0.067944,0.003675
serie-b-italia,chutes_alvo,HT,under,2493,1.0000,0.214339,0.208578,-0.005761,-0.026878,0.618292,0.604877,-0.013414,-0.072763,-0.014984
serie-b-italia,chutes_alvo,HT,over,2493,1.0000,0.214339,0.208578,-0.005761,-0.026877,0.618292,0.604888,-0.013404,0.072763,0.015344
premier-league,1x2,HT,away,1712,1.0000,0.190679,0.184958,-0.005721,-0.030004,0.584640,0.569263,-0.015377,0.074320,0.002394
superliga-argentina,correct_score,FT,0_0,581,1.0000,0.138285,0.132564,-0.005721,-0.041369,0.459537,0.447742,-0.011795,-0.009827,0.050426
bundesliga,dupla,HT,x2,1353,1.0000,0.221913,0.216202,-0.005711,-0.025735,0.643864,0.640855,-0.003009,0.075369,0.012148
premier-league,chutes,FT,under,53072,1.0000,0.169061,0.163359,-0.005703,-0.033731,0.514957,0.485915,-0.029043,0.012407,0.002006
premier-league,chutes,FT,over,53072,1.0000,0.169061,0.163360,-0.005702,-0.033727,0.514957,0.485913,-0.029044,-0.012407,-0.002019
championship,1x2,HT,draw,435,1.0000,0.250740,0.245055,-0.005685,-0.022671,0.694809,0.683253,-0.011557,-0.044908,-0.014458
championship,dupla,HT,12,435,1.0000,0.250740,0.245055,-0.005685,-0.022671,0.694809,0.683253,-0.011557,0.044908,0.014458
la-liga-2,asian_handicap,FT,away_plus_0_5,312,1.0000,0.210420,0.204747,-0.005673,-0.026960,0.626770,0.598767,-0.028004,0.067015,-0.015628
la-liga-2,1x2,FT,away,312,1.0000,0.210420,0.204747,-0.005673,-0.026960,0.626770,0.598767,-0.028004,0.067015,-0.015628
la-liga-2,asian_handicap,FT,home_plus_0_5,312,1.0000,0.210420,0.204749,-0.005671,-0.026950,0.626770,0.598778,-0.027993,-0.067015,0.015638
la-liga-2,dupla,FT,1x,312,1.0000,0.210420,0.204749,-0.005671,-0.026950,0.626770,0.598778,-0.027993,-0.067015,0.015638
la-liga-2,handicap,FT,home_plus_1,312,1.0000,0.210420,0.204749,-0.005671,-0.026950,0.626770,0.598778,-0.027993,-0.067015,0.015638
la-liga-2,cartoes,FT,under,4680,1.0000,0.179643,0.173972,-0.005670,-0.031564,0.535410,0.519394,-0.016016,-0.070942,-0.028087
ligue-1,btts_algum_tempo,FULL,nao,1510,1.0000,0.249528,0.243867,-0.005661,-0.022686,0.694047,0.680941,-0.013106,-0.020747,-0.008431
ligue-1,btts_algum_tempo,FULL,sim,1510,1.0000,0.249528,0.243867,-0.005661,-0.022686,0.694047,0.680941,-0.013106,0.020747,0.008431
primeira-liga,correct_score,FT,0_0,205,1.0000,0.069816,0.064157,-0.005659,-0.081053,0.273031,0.250803,-0.022228,-0.024240,-0.002594
la-liga-2,cartoes,FT,over,4680,1.0000,0.179643,0.173990,-0.005653,-0.031468,0.535410,0.519379,-0.016031,0.070942,0.028403
serie-b-italia,asian_handicap,FT,away_plus_1,235,1.0000,0.104534,0.098891,-0.005643,-0.053982,0.344313,0.329308,-0.015005,-0.068349,-0.023008
serie-b-italia,asian_handicap,FT,home_plus_1,235,1.0000,0.104534,0.098892,-0.005643,-0.053979,0.344313,0.329329,-0.014985,0.068349,0.023028
la-liga-2,margem,FT,home_4_plus,312,1.0000,0.033681,0.028045,-0.005636,-0.167327,0.150312,0.130554,-0.019758,-0.037217,0.000258
brasileirao,dnb,HT,away,1028,1.0000,0.226421,0.220799,-0.005622,-0.024830,0.650726,0.632747,-0.017979,0.074385,-0.033493
brasileirao,dnb,HT,home,1028,1.0000,0.226421,0.220799,-0.005622,-0.024830,0.650726,0.632747,-0.017979,-0.074385,0.033493
superliga-argentina,1x2,2T,draw,581,1.0000,0.261130,0.255632,-0.005498,-0.021055,0.721401,0.708718,-0.012684,0.024970,0.058009
superliga-argentina,dupla,2T,12,581,1.0000,0.261130,0.255632,-0.005498,-0.021055,0.721401,0.708718,-0.012684,-0.024970,-0.058009
liga-mx,escanteios,FT,over,4700,1.0000,0.208885,0.203406,-0.005479,-0.026231,0.620323,0.594762,-0.025561,-0.000825,0.005650
liga-mx,escanteios,FT,under,4700,1.0000,0.208885,0.203413,-0.005472,-0.026199,0.620323,0.594754,-0.025569,0.000825,-0.005121
brasileirao-b,margem,FT,home_3,310,1.0000,0.035594,0.030154,-0.005440,-0.152836,0.172212,0.144693,-0.027519,-0.071053,-0.032669
superliga-argentina,1x2,HT,away,581,1.0000,0.168952,0.163532,-0.005420,-0.032083,0.543602,0.508886,-0.034716,0.066241,-0.007472
superliga-argentina,dupla,HT,1x,581,1.0000,0.168952,0.163537,-0.005415,-0.032050,0.543602,0.509033,-0.034568,-0.066241,0.008032
championship,dnb,HT,away,257,1.0000,0.248707,0.243342,-0.005365,-0.021571,0.703758,0.681616,-0.022142,0.049201,-0.042573
championship,dnb,HT,home,257,1.0000,0.248707,0.243342,-0.005365,-0.021571,0.703758,0.681616,-0.022142,-0.049201,0.042573
brasileirao-b,handicap,FT,draw_plus_1,310,1.0000,0.152515,0.147159,-0.005357,-0.035122,0.521816,0.474749,-0.047068,0.075266,0.029482
brasileirao-b,margem,FT,away_1,310,1.0000,0.152515,0.147159,-0.005357,-0.035122,0.521816,0.474749,-0.047068,0.075266,0.029482
bundesliga,asian_total,HT,over,2797,1.0000,0.239887,0.234534,-0.005353,-0.022316,0.673745,0.660941,-0.012804,0.020504,-0.001262
bundesliga,asian_total,HT,under,2797,1.0000,0.239887,0.234534,-0.005353,-0.022316,0.673745,0.660941,-0.012804,-0.020504,0.001262
la-liga,btts_algum_tempo,FULL,sim,1710,1.0000,0.243296,0.237943,-0.005353,-0.022000,0.689779,0.668843,-0.020935,0.052598,0.008100
superliga-argentina,handicap,FT,draw_plus_1,581,1.0000,0.159571,0.154230,-0.005341,-0.033468,0.532767,0.492641,-0.040126,0.064139,0.018590
superliga-argentina,margem,FT,away_1,581,1.0000,0.159571,0.154230,-0.005341,-0.033468,0.532767,0.492641,-0.040126,0.064139,0.018590
bundesliga,htft,FULL,2_2,1353,1.0000,0.144234,0.138922,-0.005312,-0.036828,0.465739,0.440831,-0.024907,0.075509,0.026085
superliga-argentina,cartoes_1x2,FT,away,581,1.0000,0.255716,0.250406,-0.005310,-0.020765,0.706203,0.695184,-0.011019,-0.001460,0.016039
serie-a,btts_algum_tempo,FULL,nao,1708,1.0000,0.239712,0.234404,-0.005308,-0.022142,0.674447,0.661456,-0.012991,0.010533,0.031081
serie-a,btts_algum_tempo,FULL,sim,1708,1.0000,0.239712,0.234413,-0.005299,-0.022105,0.674447,0.661543,-0.012904,-0.010533,-0.031106
liga-mx,chutes,FT,under,7285,1.0000,0.183540,0.178243,-0.005297,-0.028858,0.551745,0.629063,0.077317,-0.020838,-0.016227
liga-mx,escanteios_1x2,HT,draw,235,1.0000,0.113411,0.108115,-0.005295,-0.046692,0.394057,0.376651,-0.017407,-0.084637,-0.033233
serie-a,asian_handicap,FT,away_plus_1,1393,1.0000,0.125300,0.120011,-0.005289,-0.042209,0.403107,0.386786,-0.016321,-0.070769,-0.017467
serie-a,asian_handicap,FT,home_plus_1,1393,1.0000,0.125300,0.120011,-0.005289,-0.042209,0.403107,0.386790,-0.016317,0.070769,0.017472
primeira-liga,1x2,2T,draw,205,1.0000,0.230528,0.225265,-0.005263,-0.022829,0.659093,0.648587,-0.010506,0.011525,0.006094
primeira-liga,dupla,2T,12,205,1.0000,0.230528,0.225265,-0.005263,-0.022829,0.659093,0.648587,-0.010506,-0.011525,-0.006094
serie-a,chutes,FT,over,52948,1.0000,0.164055,0.158807,-0.005248,-0.031992,0.498113,0.475012,-0.023101,-0.038427,-0.001148
serie-a,chutes,FT,under,52948,1.0000,0.164055,0.158808,-0.005248,-0.031987,0.498113,0.475022,-0.023091,0.038427,0.001404
liga-mx,chutes,FT,over,7285,1.0000,0.183540,0.178305,-0.005235,-0.028523,0.551745,0.629216,0.077471,0.020838,0.015930
ligue-1,correct_score,HT,0_0,1510,1.0000,0.209113,0.203892,-0.005221,-0.024967,0.609064,0.597732,-0.011332,-0.049217,-0.005985
serie-b-italia,1x2,HT,draw,277,1.0000,0.254848,0.249632,-0.005216,-0.020467,0.702972,0.692420,-0.010552,-0.009997,0.013711
serie-b-italia,dupla,HT,12,277,1.0000,0.254848,0.249632,-0.005216,-0.020467,0.702972,0.692420,-0.010552,0.009997,-0.013711
brasileirao-b,cartoes,FT,under,4650,1.0000,0.172084,0.166870,-0.005214,-0.030296,0.515035,0.504416,-0.010619,-0.062466,-0.002692
ligue-1,dupla,2T,x2,1510,1.0000,0.226284,0.221073,-0.005211,-0.023028,0.644787,0.632493,-0.012294,0.071404,-0.016700
ligue-1,1x2,2T,home,1510,1.0000,0.226284,0.221073,-0.005211,-0.023028,0.644787,0.632493,-0.012294,-0.071404,0.016700
ligue-1,asian_handicap,FT,home_minus_2,1311,1.0000,0.095432,0.090223,-0.005208,-0.054575,0.323330,0.309392,-0.013939,-0.053947,0.006830
ligue-1,asian_handicap,FT,away_minus_2,1311,1.0000,0.095432,0.090223,-0.005208,-0.054575,0.323330,0.309392,-0.013939,0.053947,-0.006830
la-liga,btts_algum_tempo,FULL,nao,1710,1.0000,0.243296,0.238116,-0.005180,-0.021290,0.689779,0.683949,-0.005830,-0.052598,-0.008163
ligue-1,1x2,2T,away,1510,1.0000,0.200665,0.195509,-0.005157,-0.025697,0.600875,0.578309,-0.022566,0.067688,-0.009568
ligue-1,dupla,2T,1x,1510,1.0000,0.200665,0.195511,-0.005154,-0.025683,0.600875,0.578326,-0.022550,-0.067688,0.009548
ligue-1,margem,FT,home_4_plus,1510,1.0000,0.041202,0.036052,-0.005149,-0.124981,0.167307,0.149271,-0.018036,-0.043441,0.004688
brasileirao-b,cartoes,FT,over,4650,1.0000,0.172084,0.166958,-0.005126,-0.029788,0.515035,0.504678,-0.010357,0.062466,0.003478
championship,escanteios_exato,FT,eq_15_plus,435,1.0000,0.115564,0.110449,-0.005115,-0.044265,0.425392,0.388104,-0.037288,0.015636,0.030366
superliga-argentina,1x2,HT,draw,581,1.0000,0.257290,0.252237,-0.005053,-0.019639,0.709361,0.697094,-0.012268,-0.021944,0.034029
superliga-argentina,dupla,HT,12,581,1.0000,0.257290,0.252237,-0.005053,-0.019639,0.709361,0.697094,-0.012268,0.021944,-0.034029
liga-mx,asian_handicap,FT,home_minus_1,188,1.0000,0.219043,0.214014,-0.005028,-0.022957,0.627065,0.616159,-0.010905,-0.050204,0.009080
liga-mx,asian_handicap,FT,away_minus_1,188,1.0000,0.219043,0.214014,-0.005028,-0.022957,0.627065,0.616159,-0.010905,0.050204,-0.009080
brasileirao-b,correct_score,HT,1_1,310,1.0000,0.136402,0.131398,-0.005004,-0.036688,0.481677,0.439360,-0.042317,0.087045,0.050735
premier-league,asian_total,HT,under,3494,1.0000,0.237916,0.232921,-0.004996,-0.020998,0.670610,0.658839,-0.011772,0.000388,0.005059
premier-league,asian_total,HT,over,3494,1.0000,0.237916,0.232921,-0.004996,-0.020998,0.670610,0.658839,-0.011772,-0.000388,-0.005059
brasileirao-b,asian_handicap,FT,home_plus_1,255,1.0000,0.085939,0.080944,-0.004995,-0.058126,0.358038,0.306058,-0.051979,0.056480,0.021156
liga-mx,cartoes_1x2,FT,away,235,1.0000,0.248795,0.243825,-0.004969,-0.019974,0.691485,0.680721,-0.010764,-0.002096,-0.017552
championship,1x2,2T,draw,435,1.0000,0.240806,0.235877,-0.004929,-0.020467,0.676246,0.664983,-0.011263,0.021240,0.024449
championship,dupla,2T,12,435,1.0000,0.240806,0.235877,-0.004929,-0.020467,0.676246,0.664983,-0.011263,-0.021240,-0.024449
primeira-liga,chutes,FT,under,6355,1.0000,0.167483,0.162560,-0.004923,-0.029395,0.516961,0.488066,-0.028895,0.016079,0.015055
primeira-liga,chutes,FT,over,6355,1.0000,0.167483,0.162561,-0.004922,-0.029388,0.516961,0.488068,-0.028893,-0.016079,-0.015153
brasileirao-b,asian_handicap,FT,away_plus_1,255,1.0000,0.085939,0.081029,-0.004910,-0.057138,0.358038,0.396691,0.038654,-0.056480,-0.021114
championship,escanteios,HT,over,6525,1.0000,0.190337,0.185463,-0.004874,-0.025605,0.569233,0.552274,-0.016960,0.062698,0.015629
brasileirao,margem,FT,home_4_plus,1845,1.0000,0.028381,0.023523,-0.004857,-0.171153,0.131963,0.109966,-0.021997,-0.047704,0.001587
serie-b-italia,cartoes_1x2,FT,home,277,1.0000,0.228186,0.223341,-0.004845,-0.021234,0.651244,0.640007,-0.011238,-0.020711,-0.002828
premier-league,chutes_alvo,HT,over,15408,1.0000,0.211866,0.207026,-0.004840,-0.022843,0.611957,0.601137,-0.010820,0.061976,-0.009098
la-liga-2,asian_handicap,FT,home_plus_2,288,1.0000,0.048133,0.043300,-0.004833,-0.100418,0.211207,0.192278,-0.018929,0.045193,0.014717
la-liga-2,asian_handicap,FT,away_plus_2,288,1.0000,0.048133,0.043300,-0.004833,-0.100418,0.211207,0.192279,-0.018928,-0.045193,-0.014717
premier-league,correct_score,HT,0_0,1712,1.0000,0.195544,0.190721,-0.004823,-0.024665,0.578946,0.567874,-0.011072,-0.060247,-0.022408
serie-a,asian_handicap,FT,home_plus_2,1560,1.0000,0.056472,0.051653,-0.004819,-0.085336,0.211652,0.195771,-0.015881,0.048757,0.012735
serie-a,asian_handicap,FT,away_plus_2,1560,1.0000,0.056472,0.051653,-0.004819,-0.085336,0.211652,0.195771,-0.015881,-0.048757,-0.012735
championship,escanteios,HT,under,6525,1.0000,0.190337,0.185528,-0.004809,-0.025266,0.569233,0.552454,-0.016779,-0.062698,-0.015167
superliga-argentina,cartoes_1x2,FT,home,581,1.0000,0.221169,0.216417,-0.004753,-0.021488,0.635791,0.624191,-0.011600,-0.022236,-0.002218
ligue-1,cartoes,FT,over,22650,1.0000,0.171589,0.166874,-0.004716,-0.027482,0.523203,0.507858,-0.015345,0.064134,-0.000943
