liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,cartoes_1x2,FT,9,0.90,1.00,3,0.998275,0.666667,-0.331608
brasileirao,chutes,FT,0,0.00,0.10,3254,0.056889,0.063614,0.006725
brasileirao,chutes,FT,1,0.10,0.20,5548,0.144728,0.150144,0.005416
brasileirao,chutes,FT,2,0.20,0.30,9460,0.253962,0.257188,0.003226
brasileirao,chutes,FT,3,0.30,0.40,12834,0.350845,0.351177,0.000332
brasileirao,chutes,FT,4,0.40,0.50,11569,0.455307,0.456738,0.001431
brasileirao,chutes,FT,5,0.50,0.60,10917,0.542362,0.538976,-0.003386
brasileirao,chutes,FT,6,0.60,0.70,13506,0.646764,0.647342,0.000578
brasileirao,chutes,FT,7,0.70,0.80,9442,0.746093,0.742851,-0.003242
brasileirao,chutes,FT,8,0.80,0.90,5598,0.854725,0.849946,-0.004779
brasileirao,chutes,FT,9,0.90,1.00,3202,0.943056,0.937539,-0.005516
brasileirao,chutes,HT,0,0.00,0.10,1009,0.085633,0.093162,0.007529
brasileirao,chutes,HT,1,0.10,0.20,3803,0.150777,0.158296,0.007519
brasileirao,chutes,HT,2,0.20,0.30,5996,0.252999,0.253169,0.000169
brasileirao,chutes,HT,3,0.30,0.40,5854,0.347202,0.358387,0.011186
brasileirao,chutes,HT,4,0.40,0.50,7453,0.446197,0.442775,-0.003422
brasileirao,chutes,HT,5,0.50,0.60,7668,0.554930,0.555947,0.001017
brasileirao,chutes,HT,6,0.60,0.70,5637,0.654593,0.646975,-0.007618
brasileirao,chutes,HT,7,0.70,0.80,5965,0.746594,0.746689,0.000095
brasileirao,chutes,HT,8,0.80,0.90,3836,0.849019,0.840459,-0.008560
brasileirao,chutes,HT,9,0.90,1.00,1009,0.914367,0.906838,-0.007529
brasileirao,chutes_1x2,FT,0,0.00,0.10,1226,0.038126,0.039967,0.001842
brasileirao,chutes_1x2,FT,1,0.10,0.20,660,0.156483,0.071212,-0.085271
brasileirao,chutes_1x2,FT,2,0.20,0.30,844,0.252277,0.207346,-0.044931
brasileirao,chutes_1x2,FT,3,0.30,0.40,850,0.345628,0.343529,-0.002098
brasileirao,chutes_1x2,FT,4,0.40,0.50,153,0.442471,0.516340,0.073869
brasileirao,chutes_1x2,FT,5,0.50,0.60,273,0.561883,0.556777,-0.005107
brasileirao,chutes_1x2,FT,6,0.60,0.70,1038,0.650617,0.641618,-0.008999
brasileirao,chutes_1x2,FT,7,0.70,0.80,312,0.747935,0.708333,-0.039602
brasileirao,chutes_1x2,FT,8,0.80,0.90,165,0.822711,0.800000,-0.022711
brasileirao,chutes_1x2,FT,9,0.90,1.00,44,0.957692,0.954545,-0.003147
brasileirao,chutes_1x2,HT,0,0.00,0.10,1844,0.073546,0.080260,0.006715
brasileirao,chutes_1x2,HT,1,0.10,0.20,263,0.148263,0.136882,-0.011380
brasileirao,chutes_1x2,HT,2,0.20,0.30,538,0.255576,0.245353,-0.010222
brasileirao,chutes_1x2,HT,3,0.30,0.40,868,0.329418,0.322581,-0.006838
brasileirao,chutes_1x2,HT,4,0.40,0.50,414,0.467542,0.463768,-0.003774
brasileirao,chutes_1x2,HT,5,0.50,0.60,512,0.573431,0.599609,0.026178
brasileirao,chutes_1x2,HT,6,0.60,0.70,767,0.646500,0.633638,-0.012862
brasileirao,chutes_1x2,HT,7,0.70,0.80,262,0.746534,0.744275,-0.002260
brasileirao,chutes_1x2,HT,8,0.80,0.90,74,0.826306,0.783784,-0.042522
brasileirao,chutes_1x2,HT,9,0.90,1.00,23,0.978443,0.913043,-0.065399
brasileirao,chutes_alvo,FT,0,0.00,0.10,549,0.083337,0.094718,0.011380
brasileirao,chutes_alvo,FT,1,0.10,0.20,6128,0.169433,0.168570,-0.000862
brasileirao,chutes_alvo,FT,2,0.20,0.30,12007,0.250521,0.250271,-0.000251
brasileirao,chutes_alvo,FT,3,0.30,0.40,4593,0.359589,0.371217,0.011628
brasileirao,chutes_alvo,FT,4,0.40,0.50,8258,0.435939,0.430371,-0.005569
brasileirao,chutes_alvo,FT,5,0.50,0.60,8262,0.564178,0.569717,0.005539
brasileirao,chutes_alvo,FT,6,0.60,0.70,4589,0.640535,0.628677,-0.011857
brasileirao,chutes_alvo,FT,7,0.70,0.80,12007,0.749238,0.749729,0.000491
brasileirao,chutes_alvo,FT,8,0.80,0.90,6100,0.831293,0.832131,0.000838
brasileirao,chutes_alvo,FT,9,0.90,1.00,577,0.919832,0.894281,-0.025551
brasileirao,chutes_alvo,HT,0,0.00,0.10,116,0.075942,0.120690,0.044748
brasileirao,chutes_alvo,HT,1,0.10,0.20,8045,0.151089,0.158235,0.007146
brasileirao,chutes_alvo,HT,2,0.20,0.30,3608,0.240309,0.245011,0.004702
brasileirao,chutes_alvo,HT,3,0.30,0.40,4960,0.350940,0.347782,-0.003157
brasileirao,chutes_alvo,HT,4,0.40,0.50,5531,0.424467,0.426324,0.001858
brasileirao,chutes_alvo,HT,5,0.50,0.60,5565,0.573695,0.573405,-0.000290
brasileirao,chutes_alvo,HT,6,0.60,0.70,4921,0.648357,0.652713,0.004356
brasileirao,chutes_alvo,HT,7,0.70,0.80,3618,0.760879,0.755390,-0.005489
brasileirao,chutes_alvo,HT,8,0.80,0.90,7960,0.848299,0.841834,-0.006465
brasileirao,chutes_alvo,HT,9,0.90,1.00,196,0.942357,0.862245,-0.080112
brasileirao,chutes_alvo_1x2,FT,0,0.00,0.10,48,0.016423,0.125000,0.108577
brasileirao,chutes_alvo_1x2,FT,1,0.10,0.20,1811,0.110838,0.115406,0.004568
brasileirao,chutes_alvo_1x2,FT,2,0.20,0.30,143,0.269426,0.335664,0.066239
brasileirao,chutes_alvo_1x2,FT,3,0.30,0.40,1693,0.356551,0.306556,-0.049994
brasileirao,chutes_alvo_1x2,FT,4,0.40,0.50,232,0.444200,0.491379,0.047180
brasileirao,chutes_alvo_1x2,FT,5,0.50,0.60,974,0.572272,0.570842,-0.001430
brasileirao,chutes_alvo_1x2,FT,6,0.60,0.70,617,0.618882,0.602917,-0.015965
brasileirao,chutes_alvo_1x2,FT,7,0.70,0.80,4,0.762869,0.750000,-0.012869
brasileirao,chutes_alvo_1x2,FT,8,0.80,0.90,10,0.858556,0.700000,-0.158556
brasileirao,chutes_alvo_1x2,FT,9,0.90,1.00,33,0.968222,0.636364,-0.331859
brasileirao,chutes_alvo_1x2,HT,0,0.00,0.10,102,0.042463,0.254902,0.212439
brasileirao,chutes_alvo_1x2,HT,1,0.10,0.20,1074,0.177230,0.181564,0.004334
brasileirao,chutes_alvo_1x2,HT,2,0.20,0.30,1637,0.262233,0.262676,0.000443
brasileirao,chutes_alvo_1x2,HT,3,0.30,0.40,880,0.321949,0.306818,-0.015131
brasileirao,chutes_alvo_1x2,HT,4,0.40,0.50,135,0.450564,0.422222,-0.028342
brasileirao,chutes_alvo_1x2,HT,5,0.50,0.60,1656,0.519662,0.513285,-0.006377
brasileirao,chutes_alvo_1x2,HT,6,0.60,0.70,12,0.643979,0.333333,-0.310646
brasileirao,chutes_alvo_1x2,HT,7,0.70,0.80,17,0.726935,0.294118,-0.432818
brasileirao,chutes_alvo_1x2,HT,8,0.80,0.90,22,0.849737,0.227273,-0.622465
brasileirao,chutes_alvo_1x2,HT,9,0.90,1.00,30,0.971628,0.433333,-0.538295
brasileirao,dupla,FT,1,0.10,0.20,11,0.191135,0.454545,0.263410
brasileirao,dupla,FT,2,0.20,0.30,61,0.278914,0.327869,0.048955
brasileirao,dupla,FT,3,0.30,0.40,291,0.370421,0.391753,0.021332
brasileirao,dupla,FT,4,0.40,0.50,426,0.436182,0.408451,-0.027732
brasileirao,dupla,FT,5,0.50,0.60,738,0.572364,0.577236,0.004872
brasileirao,dupla,FT,6,0.60,0.70,1108,0.661800,0.667870,0.006070
brasileirao,dupla,FT,7,0.70,0.80,2063,0.750959,0.733398,-0.017562
brasileirao,dupla,FT,8,0.80,0.90,801,0.831641,0.828964,-0.002677
brasileirao,dupla,FT,9,0.90,1.00,66,0.937276,0.818182,-0.119094
brasileirao,dupla,HT,2,0.20,0.30,6,0.214450,0.333333,0.118883
brasileirao,dupla,HT,3,0.30,0.40,15,0.372603,0.533333,0.160731
brasileirao,dupla,HT,4,0.40,0.50,314,0.481152,0.480892,-0.000260
brasileirao,dupla,HT,5,0.50,0.60,1948,0.565958,0.568789,0.002831
brasileirao,dupla,HT,6,0.60,0.70,1236,0.643014,0.644013,0.000999
brasileirao,dupla,HT,7,0.70,0.80,951,0.767709,0.785489,0.017780
brasileirao,dupla,HT,8,0.80,0.90,1064,0.831747,0.819549,-0.012198
brasileirao,dupla,HT,9,0.90,1.00,31,0.953038,0.838710,-0.114328
brasileirao,escanteios,FT,0,0.00,0.10,364,0.077155,0.098901,0.021746
brasileirao,escanteios,FT,1,0.10,0.20,7286,0.157312,0.156876,-0.000436
brasileirao,escanteios,FT,2,0.20,0.30,12832,0.249384,0.247974,-0.001410
brasileirao,escanteios,FT,3,0.30,0.40,8542,0.360352,0.361157,0.000805
brasileirao,escanteios,FT,4,0.40,0.50,7170,0.442438,0.438354,-0.004084
brasileirao,escanteios,FT,5,0.50,0.60,8939,0.545596,0.548831,0.003235
brasileirao,escanteios,FT,6,0.60,0.70,8896,0.641455,0.640625,-0.000830
brasileirao,escanteios,FT,7,0.70,0.80,12518,0.751517,0.753635,0.002118
brasileirao,escanteios,FT,8,0.80,0.90,7176,0.841911,0.841416,-0.000496
brasileirao,escanteios,FT,9,0.90,1.00,477,0.920923,0.909853,-0.011070
brasileirao,escanteios,HT,0,0.00,0.10,1918,0.081276,0.088113,0.006837
brasileirao,escanteios,HT,1,0.10,0.20,8728,0.148318,0.150092,0.001774
brasileirao,escanteios,HT,2,0.20,0.30,5541,0.259292,0.259700,0.000409
brasileirao,escanteios,HT,3,0.30,0.40,6809,0.338818,0.337201,-0.001617
brasileirao,escanteios,HT,4,0.40,0.50,4822,0.458710,0.456450,-0.002261
brasileirao,escanteios,HT,5,0.50,0.60,4854,0.543763,0.544499,0.000737
brasileirao,escanteios,HT,6,0.60,0.70,6647,0.660574,0.661351,0.000777
brasileirao,escanteios,HT,7,0.70,0.80,5642,0.740611,0.739454,-0.001157
brasileirao,escanteios,HT,8,0.80,0.90,8756,0.850599,0.849246,-0.001353
brasileirao,escanteios,HT,9,0.90,1.00,1933,0.918215,0.912054,-0.006161
brasileirao,escanteios_1x2,FT,0,0.00,0.10,1886,0.078199,0.083245,0.005046
brasileirao,escanteios_1x2,FT,1,0.10,0.20,91,0.157744,0.142857,-0.014887
