idx,market_key,family,scope,period,direction,line,run_0010_market_odd,run_0010_edge_pct,run_0010_certified,audit_status,before_run_odd,before_run_criado_em,latest_odd,latest_criado_em,latest_mercado,latest_selecao,latest_linha,global_matches_with_same_market_key,global_quotes_with_same_market_key,audit_comment
950,desarmes_total_ft_over_24_5,desarmes,total,FT,over,24.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
951,desarmes_total_ft_under_24_5,desarmes,total,FT,under,24.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
952,desarmes_total_ft_over_26_5,desarmes,total,FT,over,26.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
953,desarmes_total_ft_under_26_5,desarmes,total,FT,under,26.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
954,desarmes_home_ft_over_6_5,desarmes,home,FT,over,6.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
955,desarmes_home_ft_under_6_5,desarmes,home,FT,under,6.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
956,desarmes_home_ft_over_8_5,desarmes,home,FT,over,8.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
957,desarmes_home_ft_under_8_5,desarmes,home,FT,under,8.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
958,desarmes_home_ft_over_10_5,desarmes,home,FT,over,10.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
959,desarmes_home_ft_under_10_5,desarmes,home,FT,under,10.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
960,desarmes_home_ft_over_12_5,desarmes,home,FT,over,12.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
