sample,odds_range,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
all_joined,1.01-1.20,318,280,0.8805031446540881,1.08062893081761,0.8647329183355899,-0.0680366960604623,-0.06271846724334545,-0.05185534591194967,-16.489999999999995,0.9253870329414504
all_joined,1.20-1.50,17116,12294,0.7182752979668147,1.3371449228791772,0.7212031442180635,-0.040464080797982444,-0.029833881037358356,-0.04397985315883774,-752.7591666666667,0.7478620924998709
all_joined,1.50-1.70,8624,5093,0.5905612244897959,1.5948126352813854,0.5816157473466685,-0.07371680290881942,-0.04623460575939524,-0.05903737631416203,-509.1383333333334,0.6270329052312544
all_joined,1.70-1.90,8263,4300,0.5203921094033644,1.7901310863689541,0.5179089169976557,-0.0737360411552293,-0.04124544518711727,-0.06926923232078744,-572.3716666666666,0.5586183088012671
all_joined,1.90-2.10,6611,3109,0.4702768113749811,1.9807202137851054,0.4688331771784176,-0.07201371338478649,-0.03644348234219511,-0.06939164523773511,-458.7481666666668,0.5048668625888488
all_joined,2.10-2.50,7708,3126,0.4055526725480021,2.261707663034077,0.41342582799333505,-0.06739861089369509,-0.029857452097330175,-0.08441934786369139,-650.7043333333332,0.44214379088166583
all_joined,2.50-3.00,6541,2229,0.3407735820210977,2.7075483870967743,0.33919788852679617,-0.08379877677150684,-0.0310542230865783,-0.07889242215767213,-516.0353333333334,0.3693378130435819
all_joined,3.00-4.00,7391,1872,0.25328101745365983,3.415005209038019,0.2508423898240438,-0.15127425722342402,-0.043914095812173905,-0.1402702611283994,-1036.7375,0.2928253220093015
all_joined,4.00+,5007,848,0.16936289195126822,4.99421310165768,0.17704850476230127,-0.18012526491627387,-0.04094497129647504,-0.23498102656281206,-1176.55,0.2002317441496599
value_ev_gt_0,1.01-1.20,66,60,0.9090909090909091,1.1072727272727272,0.9246551802260947,0.022154517882567816,0.01960185518309459,0.005909090909090921,0.3900000000000008,0.9031198686371101
value_ev_gt_0,1.20-1.50,7024,5072,0.7220956719817767,1.3324833902809414,0.8158581499766956,0.08350031162878338,0.0622145446659333,-0.04251803340926349,-298.64666666666676,0.7504783979252151
value_ev_gt_0,1.50-1.70,3097,1904,0.6147885050048434,1.5946345926165104,0.7117405326621061,0.13392013666098565,0.08378227857849538,-0.02073296738779464,-64.21000000000001,0.6271029141285457
value_ev_gt_0,1.70-1.90,3134,1644,0.5245692405871091,1.7909181025313763,0.6499312108428716,0.1631995298536338,0.09102969188766506,-0.06054733035524353,-189.75533333333323,0.5583728248581262
value_ev_gt_0,1.90-2.10,2658,1232,0.4635063957863055,1.9822145723601705,0.5934779243607128,0.17566918550351,0.08858499204796387,-0.08222203411086032,-218.54616666666675,0.5044862518639072
value_ev_gt_0,2.10-2.50,3086,1319,0.4274141283214517,2.2579864441564053,0.5386982634405032,0.21404171465433539,0.0947002104463285,-0.03642773817239142,-112.41599999999993,0.4428724550530262
value_ev_gt_0,2.50-3.00,2418,860,0.3556658395368073,2.707227460711332,0.4650338092242777,0.2563182130375275,0.09472765316743308,-0.03846615660325338,-93.01116666666667,0.36938159593625247
value_ev_gt_0,3.00-4.00,2106,544,0.258309591642925,3.4021602564102564,0.37087264158086264,0.2523868878605128,0.0749382823647955,-0.12824667616334287,-270.0875000000001,0.2939308923252006
value_ev_gt_0,4.00+,1416,250,0.1765536723163842,5.136811440677967,0.2783886578758091,0.3122601897669536,0.06264869582610497,-0.20010593220338985,-283.35,0.1946732932575812
value_ev_ge_3_edge_ge_2pp,1.01-1.20,16,15,0.9375,1.141875,0.9239309386173904,0.05407933734228884,0.047268484688755504,0.070625,1.13,0.8757525998905309
