ev_range,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
-1000% to 0%,42601,20293,0.47635032041501374,2.278859940689968,0.4134472811337602,-0.22907791981876824,-0.10471945454579144,-0.097643685985462,-4159.718666666667,0.4388159105983631
0% to 3%,3612,2094,0.579734219269103,1.868733573274271,0.6162195469425426,0.01481626678678387,0.008944625110216334,-0.04085571244001476,-147.57083333333333,0.5351217606947931
3% to 6%,3425,1952,0.56992700729927,1.860389197080292,0.6286651506877177,0.044941746299589795,0.027093524344269603,-0.05717158150851582,-195.81266666666667,0.5375219344260906
6% to 10%,4014,2291,0.5707523667164923,1.9211879255937552,0.6404566985202144,0.0793955507048389,0.04707253958008532,-0.04566463212091015,-183.29783333333333,0.5205112871459171
10% to 15%,3931,2157,0.5487153396082421,1.9902889425930637,0.6425178937601097,0.12364606195891555,0.07062299306149676,-0.051680912405664386,-203.1576666666667,0.5024396099478612
15% to 25%,4759,2264,0.4757301954192057,2.1554410240246553,0.620555907882977,0.19498833966518272,0.10080239539747818,-0.09994133921692232,-475.6208333333333,0.46394217649842845
25%+,5265,2128,0.40417853751187083,2.7144306426084204,0.597270650511868,0.4358929934848382,0.17377912336530207,-0.06156999050332384,-324.166,0.36840138197049466
