group,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
escanteios|draw,3,1,0.3333333333333333,12.833333333333334,0.1596655976864621,0.888313214201835,0.07719225747318381,4.666666666666667,14.0,0.07792207792207792
chutes_alvo|home,1,1,1.0,2.57,0.4317795461627062,0.10967343363815485,0.042674487796947436,1.5699999999999998,1.5699999999999998,0.38910505836575876
chutes|home,1,1,1.0,2.5,0.7143679787718995,0.7859199469297486,0.3143679787718995,1.5,1.5,0.4
escanteios_handicap|away,2,2,1.0,1.645,0.7308255776586403,0.20012818684975964,0.12278240474520796,0.645,1.29,0.60790273556231
1x2|away,55,22,0.4,3.5023636363636363,0.38937144062589635,0.25240035039071534,0.07098224245667545,0.29127272727272724,16.02,0.28552146602294554
btts|sim,285,155,0.543859649122807,2.2662637426900587,0.5398522690991212,0.200649673937073,0.0891949856044583,0.2325578947368421,66.279,0.44125490831574543
1x2|draw,97,31,0.31958762886597936,3.823814432989691,0.3213663958970395,0.20964493417240718,0.05095804716888587,0.20309278350515464,19.7,0.26151896686527726
btts|nao,884,387,0.43778280542986425,2.6213797134238312,0.5559659452299175,0.43843308889094673,0.1651920663251906,0.12994626696832579,114.8725,0.3814784996157165
faltas|under,61,37,0.6065573770491803,1.8521311475409836,0.6435459702568109,0.18638158339137031,0.10116563811874851,0.11901639344262296,7.260000000000001,0.5399185696583466
chutes|over,887,479,0.5400225479143179,1.8707891770011276,0.6664423192115039,0.2335461431907721,0.12376162707650626,-0.0028072153325817326,-2.4899999999999967,0.5345337744592892
chutes_alvo|under,1022,533,0.5215264187866928,1.9263796477495108,0.6131913232591447,0.15590323427290342,0.08116954808538947,-0.016418786692759302,-16.78000000000001,0.519108474369654
cartoes|under,2146,1165,0.5428704566635602,1.9838863000931968,0.646601436135013,0.17916750982108834,0.09100275613340089,-0.028993476234855566,-62.22000000000005,0.5040611450127072
chutes_alvo|over,315,160,0.5079365079365079,1.9993333333333332,0.5868307990551401,0.11326656218152815,0.056058391451952155,-0.03574603174603174,-11.259999999999998,0.500166722240747
dupla_chance|other,1324,892,0.6737160120845922,1.4770392749244712,0.7845814642144832,0.12767858016550213,0.08223536830235878,-0.038383685800604216,-50.81999999999998,0.677030067498466
escanteios|over,1870,975,0.5213903743315508,2.1630695187165774,0.6280751870591966,0.19939787575008522,0.09172699732838874,-0.044598930481283425,-83.4,0.46230599217788154
cartoes|home,3,1,0.3333333333333333,2.84,0.4591105985790332,0.2703826926002944,0.09897088576981859,-0.04999999999999997,-0.1499999999999999,0.35211267605633806
escanteios|under,4515,2489,0.5512735326688815,1.9461949058693244,0.6788787645161969,0.17978739732064425,0.09280578617345293,-0.07577851605758582,-342.13999999999993,0.5138231515169448
chutes|under,876,443,0.5057077625570776,1.8586643835616439,0.6716486137637632,0.23180855867829425,0.12408364748797131,-0.07672374429223745,-67.21000000000001,0.5380207469644206
1x2|home,737,315,0.42740841248303935,2.4034871099050203,0.6089177797083191,0.358691405709688,0.14728208510576715,-0.09310719131614653,-68.61999999999999,0.4160621439902448
faltas|over,95,47,0.49473684210526314,1.8085263157894738,0.6468545562139133,0.1664839330519464,0.09168974256998398,-0.10610526315789472,-10.079999999999998,0.5529363832140155
impedimentos|under,187,92,0.4919786096256685,1.8529411764705883,0.655640277292264,0.191248693386935,0.10169756083773795,-0.13197860962566846,-24.68,0.5396825396825397
gols|under,2265,1050,0.46357615894039733,2.2616026490066226,0.5989848400157013,0.17396702343730866,0.07695941794177383,-0.1464635761589404,-331.74,0.4421643211459962
gols|over,2079,886,0.4261664261664262,2.6097402597402595,0.5628151050221128,0.21834727075868438,0.08288778662342906,-0.14734968734968737,-306.34000000000003,0.3831798954963922
cartoes|over,376,178,0.4734042553191489,2.039122340425532,0.6143350482785834,0.13937589799357367,0.06595203702199558,-0.14949468085106382,-56.21,0.4904070639485594
impedimentos|over,216,102,0.4722222222222222,1.8478240740740741,0.6603525809496944,0.2008647768220174,0.10826618757487859,-0.15731481481481482,-33.980000000000004,0.54117706010573
escanteios|home,7,2,0.2857142857142857,3.8685714285714283,0.641685772599245,1.3939256940242089,0.2707015841248545,-0.35857142857142854,-2.51,0.25849335302806503
escanteios_handicap|home,6,0,0.0,2.0066666666666664,0.8012571813854187,0.608696070822552,0.3022474505858728,-1.0,-6,0.49833887043189373
escanteios|away,5,0,0.0,10.85,0.26839363727853127,1.8016211772428075,0.10885902597973425,-1.0,-5,0.09216589861751152
chutes_alvo|away,2,0,0.0,10.875,0.432169061629028,3.7010447618716675,0.3319386468824843,-1.0,-2,0.09195402298850575
chutes_alvo|draw,2,0,0.0,13.25,0.13566187674194308,0.7953969255162063,0.056792829122895475,-1.0,-2,0.07547169811320754
